ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GI	Gene.Symbol	SPOT_ID
11754909_a_at	1.21e-10	2.94e-14	-13.9	22.454158	-2.94	AK075168.1		C2orf88	
11732768_at	5.18e-10	2.63e-13	-12.7	20.356814	-2.16	NM_173557.2		RNF152	
11723826_a_at	6.29e-10	5.61e-13	-12.3	19.626779	-2.92	NM_001042519.1		C2orf88	
11758028_s_at	9.95e-10	1.27e-12	11.9	18.837268	5.15	BQ184392		FOXQ1	
11739339_s_at	2.36e-09	4.2e-12	-11.3	17.675573	-2.31	AK091327.1		FAM46C	
11722783_at	5.71e-09	1.56e-11	10.7	16.397468	4.24	NM_033260.3		FOXQ1	
11739338_at	6.47e-09	2e-11	-10.6	16.157162	-2.43	AK091327.1		FAM46C	
11728603_a_at	2.12e-08	1.16e-10	-9.82	14.438175	-2.71	NM_194284.2		CLDN23	
11724221_at	2.77e-08	1.75e-10	-9.64	14.034979	-2.03	NM_021963.2		NAP1L2	
11757044_x_at	3.75e-08	2.7e-10	9.45	13.607084	2.15	CR613444.1		HILPDA	
11716798_x_at	3.81e-08	2.78e-10	-9.44	13.579039	-1.73	BC008750.1		NDN	
11719810_at	4.25e-08	3.2e-10	9.38	13.440384	1.58	NM_015169.3		RRS1	
11717301_at	4.58e-08	3.62e-10	9.33	13.32088	3.68	NM_002353.2		TACSTD2	
11719610_s_at	6.27e-08	5.54e-10	9.14	12.901554	0.803	BC018660.1		ADO	
11740032_s_at	7.78e-08	7.36e-10	9.02	12.621948	1.61	AF120032.1		DUSP14	
11729574_at	9.73e-08	1.01e-09	8.89	12.314352	1.44	CR602279.1		ENC1	
11716222_a_at	1.18e-07	1.31e-09	-8.78	12.054695	-1.88	NM_198235.2		RNASE1	
11733827_a_at	1.21e-07	1.36e-09	8.76	12.014223	1.06	NM_199250.1		C19orf48	
11725366_s_at	2.17e-07	3e-09	8.44	11.238835	1.26	CR620204.1		IER5L	
11729832_s_at	2.22e-07	3.1e-09	-8.43	11.205933	-4.04	NM_199328.1		CLDN8	
11733828_x_at	2.25e-07	3.14e-09	8.42	11.19254	1.07	NM_199250.1		C19orf48	
11741049_s_at	2.25e-07	3.14e-09	-8.42	11.191404	-2.46	NM_018286.2		TMEM100	
11736409_a_at	2.37e-07	3.36e-09	8.39	11.125534	0.494	NM_153719.2		NUP62	
11720030_a_at	2.37e-07	3.37e-09	-8.39	11.123743	-2.5	M25756.1		SCG2	
11726972_s_at	2.44e-07	3.49e-09	-8.38	11.089022	-1.76	NM_001039792.1		HRCT1	
11743161_x_at	2.66e-07	3.94e-09	8.33	10.968724	1.85	BC093742.1		HILPDA	
11742938_at	2.82e-07	4.28e-09	8.3	10.888145	2.55	BC136567.1		ASCL2	
11742467_a_at	2.94e-07	4.56e-09	8.27	10.825635	0.65	NM_145701.2		CDCA4	
11757097_s_at	3.25e-07	5.23e-09	-8.21	10.689615	-1.78	XM_001719297.1		SMIM6	
11746928_a_at	3.36e-07	5.46e-09	8.2	10.646707	1.54	AK295128.1		ENC1	
11729831_a_at	3.38e-07	5.51e-09	-8.19	10.638221	-4.24	NM_199328.1		CLDN8	
11754501_s_at	3.77e-07	6.41e-09	-8.13	10.489098	-1.56	AB371470		SMIM6	
11754500_at	4.13e-07	7.23e-09	-8.08	10.369792	-1.48	AB371470		SMIM6	
11732728_at	4.31e-07	7.67e-09	-8.06	10.311503	-0.699	NM_173078.2		SLITRK4	
11754231_at	6.17e-07	1.22e-08	7.88	9.853782	1.15	BQ575032		TMEM185B	
11720684_at	6.2e-07	1.23e-08	7.87	9.846091	1.13	AW969617		B3GALT6	
