ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GENE_SYMBOL
A_19_P00806765	4.55e-09	1.06e-13	-15.5032939	17.738686	-2.35099657	NR_034096	FONG
A_23_P95231	1.75e-03	8.15e-08	-7.6902998	7.644641	-1.90401423	NM_018272	CASC1
A_23_P41470	2.09e-03	1.76e-07	-7.3432477	6.989579	-3.139374	NM_017631	DDX60
A_23_P501985	2.09e-03	2.04e-07	-7.2770359	6.862338	-2.18986871	NM_172249	CSF2RA
A_23_P155711	2.09e-03	2.43e-07	-7.1989194	6.711291	-2.71255595	NM_018248	NEIL3
A_21_P0014089	3.84e-03	5.36e-07	-6.8520675	6.028626	-1.56456659	XR_108401	LOC100506831
A_32_P220770	6.21e-03	1.01e-06	-6.5782798	5.476231	-2.98376561	NR_002812	HCG26
A_21_P0000036	6.27e-03	1.17e-06	-6.5172628	5.351541	-2.53941049	NM_145654	RDM1
A_23_P65442	6.35e-03	1.33e-06	-6.4620826	5.238291	-1.21461227	NM_006084	IRF9
A_23_P346912	8.64e-03	2.01e-06	-6.2869516	4.875849	-2.17506696	NM_138796	SPATA17
A_32_P122226	9.05e-03	2.32e-06	-6.227134	4.751025	-2.48893356	NM_152435	AMDHD1
A_23_P103486	9.40e-03	2.74e-06	-6.1567049	4.603403	-1.99364763	NM_000775	CYP2J2
A_23_P25873	9.40e-03	2.84e-06	-6.1409343	4.570251	-1.25631272	NM_007086	WDHD1
A_23_P154235	9.81e-03	3.19e-06	-6.0923474	4.467897	-1.4657206	NM_004688	NMI
A_32_P29118	1.03e-02	3.58e-06	-6.0444142	4.3666	-2.33509816	NM_152754	SEMA3D
A_23_P64828	1.05e-02	3.91e-06	-6.0081383	4.289731	-2.58462144	NM_002534	OAS1
A_23_P69383	1.14e-02	4.93e-06	-5.9119544	4.085062	-2.35164348	NM_031458	PARP9
A_24_P399980	1.14e-02	4.93e-06	5.9115124	4.084119	2.24832988	NM_014799	HEPH
A_33_P3312049	1.14e-02	5.03e-06	-5.9036152	4.06726	-2.52822698	DB456827	
A_21_P0005955	1.14e-02	5.31e-06	-5.8811325	4.01922	-2.57623506		XLOC_006938
A_23_P216455	1.20e-02	6.23e-06	-5.8146149	3.876707	-2.19418472	NM_005059	RLN2
A_33_P3901921	1.20e-02	6.34e-06	-5.8077916	3.862057	-1.78647387	NM_017915	C12orf48
A_23_P500873	1.20e-02	6.44e-06	-5.8007947	3.847027	-1.2934695	NM_133629	RAD51D
A_33_P3340404	1.21e-02	6.73e-06	-5.7828535	3.808462	-0.97216581	NM_144643	SCLT1
A_21_P0006228	1.35e-02	7.86e-06	-5.7188028	3.670458	-2.16813333	CF127220	XLOC_007571
A_24_P17870	1.35e-02	8.18e-06	-5.7027465	3.635785	-2.65979085	NR_040662	HCP5
A_33_P3251801	1.39e-02	8.86e-06	5.6697193	3.564367	0.84895574	NM_198508	KLRG2
A_24_P378019	1.39e-02	9.13e-06	-5.657621	3.538173	-1.7642156	NM_004031	IRF7
A_33_P3253304	1.39e-02	9.60e-06	-5.6367585	3.492964	-1.75975561	NR_026754	LOC100270710
A_23_P70328	1.39e-02	9.72e-06	-5.6315909	3.481758	-1.48635141	NM_018132	CENPQ
A_33_P3659876	1.41e-02	1.02e-05	-5.6124447	3.440212	-2.33407128	NM_017760	NCAPG2
A_33_P3402489	1.49e-02	1.15e-05	-5.5637772	3.334419	-2.486821	NM_006187	OAS3
A_33_P3406939	1.49e-02	1.27e-05	-5.5230311	3.245641	-2.38774411	NM_194313	KIF24
A_23_P107465	1.49e-02	1.28e-05	-5.5207033	3.240564	-2.74934743	NM_002277	KRT31
A_23_P115482	1.49e-02	1.28e-05	-5.5196399	3.238245	-1.19797803	NM_014176	UBE2T
A_23_P411335	1.49e-02	1.29e-05	-5.5144236	3.226864	-3.17359102	NM_152524	SGOL2
