ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GENE_SYMBOL
A_23_P157926	0.0307	8.21e-05	4.768372	1.573846	3.12354817	NM_152570	LINGO2
A_23_P148609	0.0445	0.000214	-4.3854059	0.713117	-1.99559594	NM_021796	PLAC1
A_23_P301984	0.0455	0.000227	-4.3603864	0.65681	-1.37889028	NM_001007090	C8orf48
A_23_P138725	0.0509	0.000328	-4.2138851	0.327239	-0.75222796	NM_031484	MARVELD1
A_23_P401472	0.0512	0.000333	4.2073951	0.312648	2.75859626	NM_000740	CHRM3
A_23_P127522	0.0515	0.000351	-4.1867275	0.266191	-1.53143807	NM_145014	HYLS1
A_23_P250385	0.0523	0.00037	-4.1658659	0.219311	-1.72801453	NM_005322	HIST1H1B
A_24_P38895	0.0539	0.000405	-4.128751	0.135942	-0.97545405	NM_002105	H2AFX
A_23_P302681	0.0553	0.000451	-4.0858304	0.039599	-1.59241961	NM_001042762	FIGNL1
A_33_P3264846	0.0561	0.000465	-4.0733782	0.011663	-2.48072632	NM_152703	SAMD9L
A_23_P2431	0.0576	0.000529	4.0219511	-0.10363	1.99188403	NM_004054	C3AR1
A_32_P69849	0.0581	0.000543	-4.0113392	-0.127403	-1.93386078	NM_001012978	BEX5
A_32_P202859	0.0586	0.000554	4.0035421	-0.144866	0.89476653	NM_181788	H1FNT
A_23_P367013	0.0595	0.000568	3.9932687	-0.16787	1.73190596	NM_177437	TAS2R60
A_33_P3422740	0.0617	0.000648	3.9401896	-0.286616	0.71134741	NR_027002	LOC388692
A_33_P3388865	0.0733	0.000972	3.7769422	-0.650475	0.85149416	NM_201550	LRRC10
A_23_P310372	0.0742	0.00103	-3.7546348	-0.700007	-2.51810989	NM_020124	IFNK
A_23_P56759	0.0758	0.00111	-3.7218073	-0.772805	-0.7873579	NM_016618	KRCC1
A_23_P68700	0.0795	0.00133	-3.6483624	-0.935234	-1.37976491	NM_017833	DNAJC28
A_23_P40847	0.0809	0.00139	3.6303793	-0.974906	1.8317245	NM_004267	CHST2
A_21_P0000197	0.0822	0.0015	-3.600662	-1.040372	-1.75161584	NM_021064	HIST1H2AG
A_23_P29594	0.085	0.00163	-3.5655529	-1.117563	-0.98868986	NM_052969	RPL39L
A_33_P3360216	0.0868	0.00173	-3.5430188	-1.167016	-1.94354278	NM_003509	HIST1H2AI
A_23_P360744	0.0868	0.00173	-3.5425777	-1.167983	-0.96924003	NM_000448	RAG1
A_23_P157513	0.0869	0.00174	3.5395766	-1.174563	0.78382474	NM_005372	MOS
A_24_P576506	0.0872	0.00176	3.5364268	-1.181468	1.03545933	NM_001012508	SPRN
A_23_P73801	0.0877	0.00179	-3.5291261	-1.197467	-0.52680219	NM_001006640	TCEAL1
A_23_P145874	0.0879	0.00179	-3.5275012	-1.201027	-2.0617935	NM_152703	SAMD9L
A_21_P0013981	0.0884	0.00183	3.5202112	-1.216993	2.60357958	XM_003119158	CHRM3
A_33_P3351092	0.0884	0.00184	3.5178258	-1.222215	0.92504641	NM_181616	KRTAP20-2
A_33_P3402020	0.0884	0.00184	3.517428	-1.223086	1.54605634	NM_032040	CCDC8
A_23_P106922	0.091	0.00202	3.4782142	-1.30881	0.70755945	NM_021615	CHST6
A_23_P78152	0.0926	0.00212	-3.4600671	-1.348399	-0.70516216	NM_024039	MIS12
A_23_P364544	0.0944	0.00218	-3.4472858	-1.376249	-0.93159695	NM_175874	C12orf60
