GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
6382	6.77e-24	3.82e-28	0.0927	11.0001171	1.0200023	27620.83	SDC1	syndecan 1
23641	2.17e-22	2.45e-26	0.4249	10.6184592	4.511439	532.81	LDOC1	LDOC1 regulator of NFKB signaling
57419	2.26e-22	3.82e-26	0.5005	10.5767664	5.2938473	105.31	SLC24A3	solute carrier family 24 member 3
8722	2.52e-19	5.68e-23	0.4085	-9.8687988	-4.031819	87.73	CTSF	cathepsin F
94234	8.56e-18	2.41e-21	0.2572	-9.4854916	-2.4395229	559.22	FOXQ1	forkhead box Q1
8788	5.98e-17	2.02e-20	0.4715	9.2611567	4.3667534	3479.27	DLK1	delta like non-canonical Notch ligand 1
595	6.03e-16	2.38e-19	0.0874	8.9940966	0.7862011	20460.56	CCND1	cyclin D1
1830	6.79e-16	3.06e-19	0.4263	8.9663864	3.8227389	63.23	DSG3	desmoglein 3
11254	2.23e-15	1.13e-18	0.192	8.8212503	1.6933752	6533.87	SLC6A14	solute carrier family 6 member 14
3852	3.05e-15	1.72e-18	0.2802	8.7742361	2.4581651	440.8	KRT5	keratin 5
150	8.41e-14	5.22e-17	0.3559	-8.3816596	-2.9832695	183.45	ADRA2A	adrenoceptor alpha 2A
9024	4.28e-13	2.89e-16	0.2536	8.1776409	2.0741161	244.51	BRSK2	BR serine/threonine kinase 2
3691	9.30e-13	6.81e-16	0.1515	8.0738141	1.2230798	2230.15	ITGB4	integrin subunit beta 4
9635	1.76e-12	1.39e-15	0.5259	7.9861267	4.2000432	1333.34	CLCA2	chloride channel accessory 2
53836	6.43e-11	5.44e-14	0.3606	7.5208819	2.7123415	253	GPR87	G protein-coupled receptor 87
170261	1.55e-10	1.40e-13	0.3937	-7.3964673	-2.9123521	389.53	ZCCHC12	zinc finger CCHC-type containing 12
117154	4.03e-10	3.87e-13	0.5164	7.2601895	3.7489039	59.68	DACH2	dachshund family transcription factor 2
301	6.59e-10	6.69e-13	0.1145	7.1856707	0.822727	14131.25	ANXA1	annexin A1
8796	1.51e-09	1.61e-12	0.239	7.0644484	1.6882069	1201.34	SCEL	sciellin
3908	1.90e-09	2.15e-12	0.3638	7.0246018	2.5558031	1365.99	LAMA2	laminin subunit alpha 2
85439	2.49e-09	2.95e-12	0.1288	6.9799925	0.8992983	604.38	STON2	stonin 2
107985911	4.56e-09	5.66e-12	0.3746	-6.8879199	-2.5804256	154.35	LOC107985911	lymphocyte specific protein 1 pseudogene
83692	6.29e-09	8.15e-12	0.146	-6.8358491	-0.9979727	2264.66	CD99L2	CD99 molecule like 2
5129	6.75e-09	9.14e-12	0.1827	-6.819439	-1.2461971	295.43	CDK18	cyclin dependent kinase 18
1475	7.13e-09	1.05e-11	0.6981	6.7988082	4.7460181	56.49	CSTA	cystatin A
5325	7.13e-09	1.05e-11	0.5029	-6.799262	-3.4195666	1132.03	PLAGL1	PLAG1 like zinc finger 1
2918	7.13e-09	1.09e-11	0.7103	6.7946796	4.8260607	39.04	GRM8	glutamate metabotropic receptor 8
79148	8.36e-09	1.32e-11	0.3072	6.7664508	2.0786397	600.07	MMP28	matrix metallopeptidase 28
9435	8.59e-09	1.41e-11	0.2442	6.7565714	1.6500563	1037.05	CHST2	carbohydrate sulfotransferase 2
54438	8.59e-09	1.45e-11	0.2171	6.7525207	1.465737	294.37	GFOD1	glucose-fructose oxidoreductase domain containing 1
22879	1.89e-08	3.30e-11	0.1316	-6.6327091	-0.8726371	1169.61	MON1B	MON1 homolog B, secretory trafficking associated
9953	2.17e-08	3.99e-11	0.398	6.604279	2.628415	93.89	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1
5268	2.17e-08	4.03e-11	0.6777	6.6028191	4.4744844	30.98	SERPINB5	serpin family B member 5
43849	2.30e-08	4.41e-11	0.9519	-6.5895507	-6.2727251	151.96	KLK12	kallikrein related peptidase 12
8403	3.02e-08	5.96e-11	0.6268	-6.5446558	-4.1019624	57.36	SOX14	SRY-box transcription factor 14
51316	4.07e-08	8.26e-11	0.4622	6.4957343	3.0024633	282.16	PLAC8	placenta associated 8
79098	6.24e-08	1.30e-10	0.1125	6.426944	0.7227724	8163.44	C1orf116	chromosome 1 open reading frame 116
2200	6.29e-08	1.35e-10	0.1882	6.4216682	1.2083229	342.7	FBN1	fibrillin 1
287	7.54e-08	1.70e-10	0.3803	-6.3863133	-2.4289398	241.59	ANK2	ankyrin 2
220164	7.54e-08	1.70e-10	0.3384	6.3861566	2.1610998	260.48	DOK6	docking protein 6
1906	1.21e-07	2.82e-10	0.141	6.3085068	0.8896305	1375.27	EDN1	endothelin 1
5228	1.21e-07	2.87e-10	0.4867	6.3055402	3.0688249	77	PGF	placental growth factor
107986554	1.70e-07	4.22e-10	0.3525	-6.2455307	-2.201646	109.37	LOC107986554	
22986	1.70e-07	4.17e-10	0.4166	6.2473914	2.6028307	380.53	SORCS3	sortilin related VPS10 domain containing receptor 3
79983	2.28e-07	5.77e-10	0.3498	6.196491	2.1676959	80.99	POF1B	POF1B actin binding protein
9213	2.38e-07	6.18e-10	0.1117	6.1857469	0.6910416	3807.81	XPR1	xenotropic and polytropic retrovirus receptor 1
55384	2.78e-07	7.36e-10	0.7954	-6.1582077	-4.8982817	226.76	MEG3	maternally expressed 3
100506433	4.42e-07	1.20e-09	0.4022	6.0807119	2.4456249	46.63	LINC00648	long intergenic non-protein coding RNA 648
23333	4.90e-07	1.35e-09	0.1032	6.0609212	0.6252112	2521.6	DPY19L1	dpy-19 like C-mannosyltransferase 1
23504	5.16e-07	1.45e-09	0.7673	-6.0494583	-4.64184	70.79	RIMBP2	RIMS binding protein 2
342979	5.80e-07	1.67e-09	0.7357	-6.0273567	-4.4343815	229.71	PALM3	paralemmin 3
59341	5.92e-07	1.73e-09	0.3541	6.0209115	2.1322658	156.08	TRPV4	transient receptor potential cation channel subfamily V member 4
54880	7.36e-07	2.20e-09	0.1311	5.9824308	0.7844563	4369.97	BCOR	BCL6 corepressor
100505573	9.83e-07	2.99e-09	0.1413	5.9320165	0.8383305	2154.87	INAFM2	InaF motif containing 2
948	1.03e-06	3.19e-09	0.3472	5.921464	2.0557478	87.96	CD36	CD36 molecule
7087	1.29e-06	4.07e-09	0.1672	5.8813977	0.9834305	1445.12	ICAM5	intercellular adhesion molecule 5
153572	1.33e-06	4.27e-09	0.1462	-5.8735369	-0.8587189	2244.43	IRX2	iroquois homeobox 2
4747	1.40e-06	4.58e-09	0.4601	-5.8616016	-2.696935	143.01	NEFL	neurofilament light chain
55824	1.47e-06	4.96e-09	0.2451	5.84862	1.4335898	2636.73	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
9846	1.47e-06	4.92e-09	0.1968	-5.8499353	-1.1515028	378.1	GAB2	GRB2 associated binding protein 2
222611	1.67e-06	5.75e-09	0.9659	-5.8239834	-5.6251008	50.69	ADGRF2	adhesion G protein-coupled receptor F2
3872	1.87e-06	6.54e-09	0.3688	5.8022507	2.1399783	1974.75	KRT17	keratin 17
3248	1.99e-06	7.08e-09	0.2918	5.7890755	1.6892722	2364.58	HPGD	15-hydroxyprostaglandin dehydrogenase
23406	2.28e-06	8.21e-09	0.1331	-5.7641028	-0.7673076	1376.88	COTL1	coactosin like F-actin binding protein 1
255324	2.68e-06	9.82e-09	0.3953	5.7337234	2.2665891	85.21	EPGN	epithelial mitogen
401089	2.86e-06	1.06e-08	0.4005	5.7204037	2.2908268	57.49	FOXL2NB	FOXL2 neighbor
2995	2.93e-06	1.11e-08	0.5339	5.713209	3.0503141	52.23	GYPC	glycophorin C (Gerbich blood group)
8794	3.40e-06	1.30e-08	0.2679	5.6857993	1.5233322	560.84	TNFRSF10C	TNF receptor superfamily member 10c
84848	3.68e-06	1.43e-08	0.445	-5.6697792	-2.523011	43.49	MIR503HG	MIR503 host gene
51195	4.20e-06	1.66e-08	0.1674	5.6444858	0.9451671	364.18	RAPGEFL1	Rap guanine nucleotide exchange factor like 1
27145	4.34e-06	1.74e-08	0.2705	5.6362146	1.5247953	514.24	FILIP1	filamin A interacting protein 1
1030	4.50e-06	1.85e-08	0.3115	5.6253913	1.7523813	636.47	CDKN2B	cyclin dependent kinase inhibitor 2B
7056	4.50e-06	1.83e-08	0.361	5.6277635	2.0315813	2072.56	THBD	thrombomodulin
27115	4.60e-06	1.92e-08	0.2954	5.6192081	1.6599	421.33	PDE7B	phosphodiesterase 7B
647024	5.67e-06	2.40e-08	0.1051	5.5806221	0.5862941	1111.14	C6orf132	chromosome 6 open reading frame 132
886	7.24e-06	3.10e-08	0.8436	-5.5356354	-4.6701317	49.81	CCKAR	cholecystokinin A receptor
222256	8.93e-06	3.88e-08	0.6682	-5.4962753	-3.6724668	86.87	CDHR3	cadherin related family member 3
2877	9.50e-06	4.18e-08	0.4077	5.4831998	2.235239	462.96	GPX2	glutathione peroxidase 2
105375172	1.15e-05	5.12e-08	0.3753	5.4470678	2.0443016	1646.86	LOC105375172	uncharacterized LOC105375172
8842	1.20e-05	5.39e-08	0.5617	-5.4378135	-3.0543304	59.49	PROM1	prominin 1
254827	1.35e-05	6.15e-08	0.2386	5.4144892	1.2917653	359.88	NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2
80271	1.49e-05	6.87e-08	0.1307	5.3944923	0.70507	2625.34	ITPKC	inositol-trisphosphate 3-kinase C
3488	1.50e-05	7.03e-08	0.338	-5.3903795	-1.8217993	26602.1	IGFBP5	insulin like growth factor binding protein 5
388743	1.59e-05	7.55e-08	0.218	5.377604	1.172292	1162.58	CAPN8	calpain 8
654433	1.74e-05	8.33e-08	0.812	-5.3597831	-4.3522665	119.85	PAX8-AS1	PAX8 antisense RNA 1
8437	1.74e-05	8.44e-08	0.6343	-5.3573731	-3.3983524	62.84	RASAL1	RAS protein activator like 1
59352	1.84e-05	9.00e-08	0.5118	5.3457649	2.7358249	124.05	LGR6	leucine rich repeat containing G protein-coupled receptor 6
107985492	2.07e-05	1.02e-07	0.5665	-5.3222831	-3.0151394	818.8	LOC107985492	uncharacterized LOC107985492
10003	2.48e-05	1.25e-07	0.7919	-5.2864873	-4.1865571	141.43	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2
651302	2.52e-05	1.28e-07	0.3489	5.282129	1.8431383	43.78	ZKSCAN8P1	ZKSCAN8 pseudogene 1
116159	2.69e-05	1.38e-07	0.3792	5.2675991	1.9974636	138.92	CYYR1	cysteine and tyrosine rich 1
3868	2.70e-05	1.40e-07	0.7016	5.2649806	3.6937598	21.1	KRT16	keratin 16
1604	3.43e-05	1.80e-07	0.1278	5.2192774	0.6672545	5228.05	CD55	CD55 molecule (Cromer blood group)
286046	3.43e-05	1.84e-07	0.242	5.215022	1.2618053	154.49	XKR6	XK related 6
3257	3.43e-05	1.84e-07	0.2669	5.2152895	1.3922016	1039.4	HPS1	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1
57519	3.52e-05	1.90e-07	0.2641	-5.2085564	-1.3753808	119.58	STARD9	StAR related lipid transfer domain containing 9
1580	3.62e-05	1.98e-07	0.1602	5.2009254	0.8334413	2017.38	CYP4B1	cytochrome P450 family 4 subfamily B member 1
441024	3.62e-05	2.00e-07	0.1784	5.1991312	0.9276559	371	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like
25945	4.49e-05	2.50e-07	0.1304	-5.1573703	-0.6725106	697.05	NECTIN3	nectin cell adhesion molecule 3
10370	4.56e-05	2.57e-07	0.1349	5.1523792	0.6952481	7256.41	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
50937	4.77e-05	2.75e-07	0.2018	-5.1401138	-1.0374505	381.41	CDON	cell adhesion associated, oncogene regulated
145837	4.77e-05	2.73e-07	0.4136	-5.1413732	-2.1262833	144.33	DRAIC	downregulated RNA in cancer, inhibitor of cell invasion and migration
3985	4.92e-05	2.86e-07	0.1463	5.1326685	0.7509366	1705.56	LIMK2	LIM domain kinase 2
55790	5.24e-05	3.07e-07	0.2598	-5.1188159	-1.3298084	96.97	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1
8744	6.08e-05	3.60e-07	0.4202	5.088889	2.1381691	156.27	TNFSF9	TNF superfamily member 9
1080	6.24e-05	3.73e-07	0.2403	5.0821391	1.2209873	1042.99	CFTR	CF transmembrane conductance regulator
101927630	6.51e-05	3.93e-07	0.3981	5.0724033	2.0192727	246.39	LINC02889	long intergenic non-protein coding RNA 2889
6492	7.37e-05	4.49e-07	0.903	-5.0470486	-4.5576745	71.41	SIM1	SIM bHLH transcription factor 1
79188	7.52e-05	4.62e-07	0.1387	5.0415182	0.6994555	2563.57	TMEM43	transmembrane protein 43
479	7.86e-05	4.87e-07	0.4799	5.0312089	2.4146628	59.83	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit
102723694	8.18e-05	5.15e-07	0.3901	-5.0206142	-1.9583466	308.41	MIR30DHG	MIR30D and MIR30B host gene
84766	8.18e-05	5.16e-07	0.4686	5.0201152	2.3525776	89.18	CRACR2A	calcium release activated channel regulator 2A
9076	8.92e-05	5.69e-07	0.1465	5.001589	0.7325697	1600.1	CLDN1	claudin 1
342184	9.14e-05	5.87e-07	0.331	4.9953176	1.6536088	184.39	FMN1	formin 1
101927476	9.36e-05	6.07e-07	0.7815	-4.9889061	-3.8987996	26.16	LOC101927476	uncharacterized LOC101927476
9982	9.49e-05	6.26e-07	0.4497	4.9829298	2.2406069	109.53	FGFBP1	fibroblast growth factor binding protein 1
55796	9.49e-05	6.24e-07	0.4141	-4.9834931	-2.0638919	563.16	MBNL3	muscleblind like splicing regulator 3
2114	9.51e-05	6.33e-07	0.1307	4.9809787	0.6512056	11944.91	ETS2	ETS proto-oncogene 2, transcription factor
3171	9.82e-05	6.59e-07	0.3932	-4.9730291	-1.9555847	203.14	FOXA3	forkhead box A3
64579	1.01e-04	6.80e-07	0.522	4.9669874	2.5929179	56.13	NDST4	N-deacetylase and N-sulfotransferase 4
4325	1.12e-04	7.63e-07	0.2551	4.9445242	1.2613188	94.66	MMP16	matrix metallopeptidase 16
81706	1.19e-04	8.19e-07	0.1915	4.9308843	0.9440608	1630.39	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C
8061	1.27e-04	8.81e-07	0.3733	4.9164558	1.8352573	479.59	FOSL1	FOS like 1, AP-1 transcription factor subunit
598	1.27e-04	8.89e-07	0.1568	4.9148325	0.770607	3302.71	BCL2L1	BCL2 like 1
91614	1.38e-04	9.69e-07	0.2256	4.897815	1.1050589	276.17	DEPDC7	DEP domain containing 7
55640	1.38e-04	9.83e-07	0.2576	-4.8949313	-1.2610142	169.39	FLVCR2	FLVCR heme transporter 2
2805	1.47e-04	1.05e-06	0.1669	4.8811796	0.8145805	1198.16	GOT1	glutamic-oxaloacetic transaminase 1
5912	1.55e-04	1.12e-06	0.2443	4.86941	1.1894463	1475.79	RAP2B	RAP2B, member of RAS oncogene family
1308	1.60e-04	1.17e-06	0.4111	4.8613392	1.998736	1246.23	COL17A1	collagen type XVII alpha 1 chain
55970	1.66e-04	1.22e-06	0.1364	4.8524109	0.6617549	980.28	GNG12	G protein subunit gamma 12
390	1.66e-04	1.23e-06	0.1608	4.8509982	0.7798169	1792.32	RND3	Rho family GTPase 3
