GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
4094	2.39e-122	1.41e-126	0.1392	23.9324142	3.33250913	655.6	MAF	MAF bZIP transcription factor
9858	2.15e-61	2.53e-65	0.135	-17.0688421	-2.30463272	171.66	PPP1R26	protein phosphatase 1 regulatory subunit 26
137392	2.46e-50	4.34e-54	0.0939	15.485619	1.45338258	4350.58	CIBAR1	CBY1 interacting BAR domain containing 1
2736	2.05e-48	4.83e-52	0.0596	-15.1795359	-0.90542601	840.21	GLI2	GLI family zinc finger 2
642924	3.16e-48	9.30e-52	0.1751	15.1365452	2.65095732	194.31	CIBAR1-DT	CIBAR1 divergent transcript
241	1.29e-47	4.56e-51	0.0603	15.0315175	0.90614911	3106.19	ALOX5AP	arachidonate 5-lipoxygenase activating protein
57572	1.33e-40	5.47e-44	0.0693	13.9104523	0.96428363	2256.58	DOCK6	dedicator of cytokinesis 6
85301	1.13e-37	5.34e-41	0.2453	13.4091599	3.28927485	290.27	COL27A1	collagen type XXVII alpha 1 chain
9289	1.26e-37	6.69e-41	0.0273	-13.392518	-0.36606655	10881.16	ADGRG1	adhesion G protein-coupled receptor G1
26233	1.67e-37	9.83e-41	0.0459	13.3638572	0.61370415	3043.74	FBXL6	F-box and leucine rich repeat protein 6
5747	4.34e-37	2.81e-40	0.2099	13.2854153	2.78819497	1423.88	PTK2	protein tyrosine kinase 2
56000	6.56e-37	4.63e-40	0.0917	-13.2480385	-1.21500371	551.09	NXF3	nuclear RNA export factor 3
5046	9.92e-35	7.59e-38	0.2769	12.8596525	3.56112725	321.9	PCSK6	proprotein convertase subtilisin/kexin type 6
23708	1.13e-34	9.28e-38	0.0515	-12.8441583	-0.66198455	651.8	GSPT2	G1 to S phase transition 2
55084	1.50e-34	1.33e-37	0.4194	12.816455	5.37582313	47.97	SOBP	sine oculis binding protein homolog
3326	6.91e-33	6.51e-36	0.0269	12.510936	0.33650514	74487.81	HSP90AB1	heat shock protein 90 alpha family class B member 1
5217	5.37e-32	5.38e-35	0.0798	-12.3420316	-0.98455958	310.99	PFN2	profilin 2
1475	1.48e-30	1.57e-33	0.1239	-12.0676287	-1.49480326	760.22	CSTA	cystatin A
389677	2.78e-30	3.11e-33	0.0492	12.0111187	0.59060996	3169.65	RBM12B	RNA binding motif protein 12B
27242	4.43e-27	5.22e-30	0.2936	11.3806612	3.3417226	70.7	TNFRSF21	TNF receptor superfamily member 21
22882	5.40e-27	6.68e-30	0.2564	11.3591427	2.91228679	85.57	ZHX2	zinc fingers and homeoboxes 2
57480	1.46e-26	1.89e-29	0.0582	11.2676962	0.65588336	757.3	PLEKHG1	pleckstrin homology and RhoGEF domain containing G1
375686	3.86e-24	5.23e-27	0.1265	10.7614749	1.36165037	173.27	SPATC1	spermatogenesis and centriole associated 1
84939	6.14e-23	8.67e-26	0.0451	10.4996601	0.4735193	2784.21	PWWP3A	PWWP domain containing 3A, DNA repair factor
51291	9.55e-21	1.40e-23	0.0371	10.0080493	0.37144396	6548.64	GMIP	GEM interacting protein
4185	3.09e-20	4.73e-23	0.1066	9.8872594	1.05444163	142.57	ADAM11	ADAM metallopeptidase domain 11
84333	5.65e-20	8.98e-23	0.0752	-9.8227794	-0.73865853	1021.07	PCGF5	polycomb group ring finger 5
1075	7.01e-20	1.16e-22	0.0274	-9.7973618	-0.26846276	20369.92	CTSC	cathepsin C
284600	8.51e-20	1.45e-22	0.1774	9.7742027	1.73428473	167.2	LOC284600	uncharacterized LOC284600
90139	1.41e-19	2.50e-22	0.2079	9.7192154	2.02020901	49.04	TSPAN18	tetraspanin 18
10288	3.37e-19	6.15e-22	0.1785	9.6269674	1.71842728	607.46	LILRB2	leukocyte immunoglobulin like receptor B2
102467226	4.12e-19	7.76e-22	0.1258	9.6030063	1.20841356	128.83	LOC102467226	uncharacterized LOC102467226
6281	1.00e-17	1.94e-20	0.5335	9.2653355	4.94340317	25.47	S100A10	S100 calcium binding protein A10
79673	1.49e-17	2.99e-20	0.0397	-9.219361	-0.36596887	1493.18	ZNF329	zinc finger protein 329
23327	1.74e-17	3.58e-20	0.3731	9.2000648	3.43224339	46.92	NEDD4L	NEDD4 like E3 ubiquitin protein ligase
152404	2.93e-17	6.27e-20	0.3737	9.1395269	3.41576435	72.39	IGSF11	immunoglobulin superfamily member 11
9685	2.93e-17	6.56e-20	0.0345	9.1347254	0.3151212	8159.68	CLINT1	clathrin interactor 1
4037	2.93e-17	6.41e-20	0.1041	9.1372417	0.95117442	1306.08	LRP3	LDL receptor related protein 3
57030	5.38e-17	1.24e-19	0.1349	9.0659312	1.22320956	227.08	SLC17A7	solute carrier family 17 member 7
6547	6.30e-17	1.52e-19	0.2454	9.0432422	2.21962061	109.31	SLC8A3	solute carrier family 8 member A3
54739	6.30e-17	1.51e-19	0.0586	-9.0438046	-0.53004191	1002.77	XAF1	XIAP associated factor 1
285613	1.30e-16	3.22e-19	0.0657	8.9610494	0.5889205	629	RELL2	RELT like 2
105372964	1.99e-16	5.05e-19	0.362	8.911229	3.22570912	21.26	LOC105372964	
6950	2.06e-16	5.34e-19	0.0337	8.9049203	0.30046934	10747.16	TCP1	t-complex 1
159296	2.52e-16	6.82e-19	0.5364	8.8777263	4.76232228	31.17	NKX2-3	NK2 homeobox 3
3581	2.52e-16	6.82e-19	0.0456	8.8777827	0.40454639	3219.67	IL9R	interleukin 9 receptor
8694	2.58e-16	7.14e-19	0.0541	8.8726424	0.48025354	6149.72	DGAT1	diacylglycerol O-acyltransferase 1
64359	2.77e-16	7.83e-19	0.0661	-8.8624389	-0.58578422	1834.63	NXN	nucleoredoxin
105376611	2.78e-16	8.00e-19	0.3875	8.8599527	3.43346686	35.91	LOC105376611	uncharacterized LOC105376611
3482	4.10e-16	1.21e-18	0.214	-8.8140791	-1.88634168	114.71	IGF2R	insulin like growth factor 2 receptor
7534	4.58e-16	1.40e-18	0.024	8.7977057	0.21147873	48763.2	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
10133	4.58e-16	1.40e-18	0.0494	-8.7973372	-0.4349378	1689.1	OPTN	optineurin
3150	4.65e-16	1.45e-18	0.0195	8.7934093	0.17115106	25624.08	HMGN1	high mobility group nucleosome binding domain 1
6653	1.01e-15	3.22e-18	0.1652	8.7036058	1.43790751	81.83	SORL1	sortilin related receptor 1
85379	1.05e-15	3.40e-18	0.2217	8.6971248	1.92841911	358.42	KIAA1671	KIAA1671
23284	1.47e-15	4.85e-18	0.1433	-8.6567869	-1.24044897	384.07	ADGRL3	adhesion G protein-coupled receptor L3
3340	1.98e-15	6.64e-18	0.0481	8.620968	0.4147725	3890.95	NDST1	N-deacetylase and N-sulfotransferase 1
684	2.52e-15	8.59e-18	0.1203	8.5914299	1.0332983	1183.8	BST2	bone marrow stromal cell antigen 2
11184	2.93e-15	1.02e-17	0.0375	8.572085	0.32158291	1627.02	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
6005	3.75e-15	1.32e-17	0.2223	-8.5415436	-1.89867367	1320.04	RHAG	Rh associated glycoprotein
112616	3.76e-15	1.35e-17	0.0507	-8.5394241	-0.43293848	1493.73	CMTM7	CKLF like MARVEL transmembrane domain containing 7
1457	1.41e-14	5.13e-17	0.0146	-8.3836683	-0.12213413	17234.88	CSNK2A1	casein kinase 2 alpha 1
3684	3.45e-14	1.28e-16	0.0569	8.275533	0.47056581	698.1	ITGAM	integrin subunit alpha M
10174	5.38e-14	2.03e-16	0.0499	8.2205551	0.40983831	2021.98	SORBS3	sorbin and SH3 domain containing 3
23543	8.19e-14	3.13e-16	0.0273	8.1681061	0.22321523	3674.05	RBFOX2	RNA binding fox-1 homolog 2
64760	8.73e-14	3.39e-16	0.045	8.1584832	0.36689075	2853.27	FHIP2B	FHF complex subunit HOOK interacting protein 2B
9875	9.14e-14	3.60e-16	0.0391	8.1511614	0.31891988	8298.51	URB1	URB1 ribosome biogenesis homolog
1462	1.09e-13	4.37e-16	0.1514	-8.1277115	-1.23018126	115.8	VCAN	versican
9812	1.29e-13	5.23e-16	0.0387	8.1059702	0.31336491	2745.71	DELE1	DAP3 binding cell death enhancer 1
345462	1.75e-13	7.20e-16	0.0973	8.0671526	0.78478108	179.42	ZNF879	zinc finger protein 879
3097	2.27e-13	9.49e-16	0.3915	8.0332241	3.14540182	38.7	HIVEP2	HIVEP zinc finger 2
151507	2.34e-13	9.90e-16	0.0789	-8.0280458	-0.6337753	713.55	MSL3P1	MSL complex subunit 3 pseudogene 1
26228	4.20e-13	1.81e-15	0.0512	7.9539292	0.4068725	2333.26	STAP1	signal transducing adaptor family member 1
5362	6.37e-13	2.81e-15	0.124	-7.898941	-0.97925744	671.23	PLXNA2	plexin A2
105371356	6.37e-13	2.80e-15	0.3543	7.8996173	2.79894051	23.4	LOC105371356	uncharacterized LOC105371356
113829	6.53e-13	2.92e-15	0.0364	7.8941374	0.28763724	2303.09	SLC35A4	solute carrier family 35 member A4
30000	6.85e-13	3.10e-15	0.0377	7.8867013	0.29767046	7842.35	TNPO2	transportin 2
7804	8.77e-13	4.03e-15	0.0548	7.8541325	0.43055852	2336.71	LRP8	LDL receptor related protein 8
63977	1.15e-12	5.33e-15	0.0567	7.8188739	0.44357879	1216.48	PRDM15	PR/SET domain 15
102724135	1.22e-12	5.80e-15	0.2444	7.808271	1.90819738	152.81	LOC102724135	uncharacterized LOC102724135
3021	1.22e-12	5.76e-15	0.0292	-7.8091672	-0.22821562	35090.5	H3-3B	H3.3 histone B
27032	1.37e-12	6.62e-15	0.0327	-7.7915502	-0.25514355	7344.54	ATP2C1	ATPase secretory pathway Ca2+ transporting 1
25805	1.65e-12	8.07e-15	0.142	7.7664276	1.10281366	421.43	BAMBI	BMP and activin membrane bound inhibitor
10026	1.72e-12	8.52e-15	0.0427	-7.7596185	-0.33097332	3601.19	PIGK	phosphatidylinositol glycan anchor biosynthesis class K
51429	2.82e-12	1.41e-14	0.0591	7.6955013	0.45481409	1125.86	SNX9	sorting nexin 9
9517	4.86e-12	2.46e-14	0.0422	-7.6239477	-0.32188398	6561.58	SPTLC2	serine palmitoyltransferase long chain base subunit 2
150094	7.49e-12	3.84e-14	0.1109	7.5664347	0.83942193	717.07	SIK1	salt inducible kinase 1
55657	7.77e-12	4.03e-14	0.0461	7.5601438	0.34869558	1463.98	ZNF692	zinc finger protein 692
8653	8.05e-12	4.22e-14	0.0523	7.5541608	0.39521531	6782.23	DDX3Y	DEAD-box helicase 3 Y-linked
2710	8.91e-12	4.72e-14	0.0458	-7.5393634	-0.34551833	1273.97	GK	glycerol kinase
79048	8.95e-12	4.80e-14	0.0317	-7.5373712	-0.23895455	3565.22	SECISBP2	SECIS binding protein 2
