ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8007169	0.0000225	6.77e-10	18.2014554	12.81817	3.07184814	KLHL10	kelch like family member 10
8148220	0.0000371	2.23e-09	16.3669294	11.81414	1.78159154	FER1L6	fer-1 like family member 6
8096528	0.0000373	4.59e-09	15.3362644	11.18242	2.63269579	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2
8067942	0.0000373	5.44e-09	-15.1039045	11.03253	-3.53610514	MIR99A	microRNA 99a
8108182	0.0000373	6.19e-09	14.9290009	10.91779	2.25619589	CATSPER3	cation channel sperm associated 3
7999952	0.0000373	7.05e-09	14.7543468	10.80154	2.01473146	PDILT	protein disulfide isomerase like, testis expressed
8026496	0.0000373	9.97e-09	14.300223	10.49122	1.83381818	LINC00661	long intergenic non-protein coding RNA 661
8107591	0.0000373	1.04e-08	14.24402	10.45199	1.83009493	ZNF474	zinc finger protein 474
8040672	0.0000373	1.13e-08	14.1336362	10.37439	2.03251554	DRC1	dynein regulatory complex subunit 1
7955119	0.0000373	1.21e-08	14.0504556	10.31543	2.27701089	C12orf54	chromosome 12 open reading frame 54
7963084	0.0000373	1.23e-08	14.028464	10.29977	2.53461732	FAM186B	family with sequence similarity 186 member B
8137437	0.0000396	1.43e-08	13.8401781	10.16451	2.84995829	GALNTL5	polypeptide N-acetylgalactosaminyltransferase-like 5
8043639	0.0000411	1.89e-08	13.4924996	9.90895	2.80669254	FER1L5	fer-1 like family member 5
7996117	0.0000411	2.18e-08	13.3149317	9.77544	3.59190893	DRC7	dynein regulatory complex subunit 7
8062237	0.0000411	2.33e-08	13.2350203	9.71469	2.87069293	CNBD2	cyclic nucleotide binding domain containing 2
8067944	0.0000411	2.34e-08	-13.2322304	9.71256	-2.7097045	MIRLET7C	microRNA let-7c
7999396	0.0000411	2.46e-08	13.1723542	9.66675	2.79583575	TEKT5	tektin 5
8090518	0.0000411	2.49e-08	13.1576597	9.65547	1.76344764	LOC100132731///KIAA1257	uncharacterized LOC100132731///KIAA1257
8157632	0.0000411	2.67e-08	13.072129	9.58953	2.94522632	MORN5	MORN repeat containing 5
8086729	0.0000411	2.74e-08	13.041816	9.56605	2.65856982	KIF9	kinesin family member 9
8038246	0.0000411	2.88e-08	12.9829659	9.52027	2.94449746	TULP2	tubby like protein 2
8032312	0.0000411	2.98e-08	12.942691	9.4888	2.71882271	ATP8B3	ATPase phospholipid transporting 8B3
7995442	0.0000411	3.06e-08	12.9085832	9.46207	3.47905825	C16orf78	chromosome 16 open reading frame 78
7993898	0.0000411	3.12e-08	12.8884355	9.44624	1.40815318	VWA3A	von Willebrand factor A domain containing 3A
8010328	0.0000411	3.41e-08	12.7845078	9.36414	1.73658686	CCDC40	coiled-coil domain containing 40
8030113	0.0000411	3.47e-08	12.7608333	9.34533	2.55381246	RUVBL2	RuvB like AAA ATPase 2
7900076	0.0000411	3.60e-08	12.7192667	9.31222	2.91425132	TEKT2	tektin 2
7931455	0.0000411	3.70e-08	12.6869779	9.28641	1.86074364	LRRC27	leucine rich repeat containing 27
7909624	0.0000411	4.01e-08	12.5940134	9.21169	3.71406675	FAM71A	family with sequence similarity 71 member A
8025011	0.0000411	4.04e-08	12.5840572	9.20365	4.15435796	ACSBG2	acyl-CoA synthetase bubblegum family member 2
8155200	0.0000411	4.07e-08	12.5773621	9.19824	3.42996861	CCIN	calicin
8143463	0.0000411	4.17e-08	12.5479329	9.17443	2.63891075	PRSS37	protease, serine 37
8001235	0.0000411	4.39e-08	12.4897069	9.12712	2.27382929	ABCC12	ATP binding cassette subfamily C member 12
7905464	0.0000411	4.48e-08	12.4649259	9.10692	1.41759739	RIIAD1	regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1
8107554	0.0000411	4.53e-08	12.4530963	9.09725	1.37290868	FAM170A	family with sequence similarity 170 member A
8008350	0.0000411	4.54e-08	12.4521581	9.09649	3.33221982	MYCBPAP	MYCBP associated protein
8042843	0.0000411	4.61e-08	12.4340578	9.08168	1.70717468	WDR54	WD repeat domain 54
8126916	0.0000411	4.69e-08	12.4125015	9.06402	3.61548643	PGK2	phosphoglycerate kinase 2
8123685	0.0000415	4.96e-08	12.3506608	9.01316	1.70913871	FAM217A	family with sequence similarity 217 member A
7975901	0.0000415	5.03e-08	12.3327887	8.99841	1.58080061	LRRC74A	leucine rich repeat containing 74A
7959696	0.0000415	5.11e-08	12.3157502	8.98433	2.18294296	DNAH10	dynein axonemal heavy chain 10
8007176	0.0000427	5.51e-08	12.2307809	8.91377	2.90531482	TTC25	tetratricopeptide repeat domain 25
8050480	0.0000427	5.73e-08	12.1857287	8.87614	3.001898	NT5C1B-RDH14///NT5C1B	NT5C1B-RDH14 readthrough///5'-nucleotidase, cytosolic IB
7953229	0.0000427	5.87e-08	12.1600718	8.85464	1.78883121	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4
8015642	0.0000427	5.97e-08	12.1404529	8.83817	1.15509161	PSMC3IP	PSMC3 interacting protein
7959834	0.0000427	6.06e-08	12.1244284	8.82469	2.59133929	GLT1D1	glycosyltransferase 1 domain containing 1
8004889	0.0000427	6.11e-08	12.1151753	8.8169	2.28029536	CFAP52	cilia and flagella associated protein 52
8080226	0.0000427	6.16e-08	12.1059395	8.80912	2.18377461	DNAH1	dynein axonemal heavy chain 1
8001682	0.0000428	6.29e-08	12.0816424	8.78862	2.94201814	PRSS54	protease, serine 54
8101839	0.0000432	6.49e-08	12.046483	8.75887	2.77454386	EIF4E	eukaryotic translation initiation factor 4E
8119951	0.0000438	6.71e-08	12.0107059	8.7285	3.48195221	CAPN11	calpain 11
8087881	0.0000439	6.88e-08	-11.98285	8.70478	-2.04286468	MIRLET7G	microRNA let-7g
7922328	0.0000439	6.99e-08	-11.9648033	8.68939	-2.21296168	DNM3OS///MIR199A2	DNM3 opposite strand/antisense RNA///microRNA 199a-2
8009585	0.000044	7.14e-08	11.9409551	8.66901	2.80716789	DNAI2	dynein axonemal intermediate chain 2
8018872	0.0000452	7.47e-08	11.8907513	8.62596	3.01824536	DNAH17	dynein axonemal heavy chain 17
