ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8096528	3.73e-05	4.59e-09	15.3362644	11.18242	2.63269579	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2
7909624	4.11e-05	4.01e-08	12.5940134	9.21169	3.71406675	FAM71A	family with sequence similarity 71 member A
8155200	4.11e-05	4.07e-08	12.5773621	9.19824	3.42996861	CCIN	calicin
8126916	4.11e-05	4.69e-08	12.4125015	9.06402	3.61548643	PGK2	phosphoglycerate kinase 2
8098368	4.54e-05	7.64e-08	11.8661743	8.60481	3.78551921	ADAM29	ADAM metallopeptidase domain 29
8161615	6.1e-05	1.22e-07	11.3630246	8.16133	2.23115243	PRKACG	protein kinase cAMP-activated catalytic subunit gamma
7922804	6.68e-05	1.94e-07	10.8777291	7.71371	3.07582625	APOBEC4	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4
8016866	6.68e-05	2.05e-07	10.822295	7.66128	3.28993079	CCDC182	coiled-coil domain containing 182
8080640	6.78e-05	2.37e-07	10.676705	7.52229	3.12791439	SPATA12	spermatogenesis associated 12
7929674	7.4e-05	2.86e-07	10.4881588	7.33943	4.28914396	C10orf62	chromosome 10 open reading frame 62
8138088	7.4e-05	2.93e-07	10.4634761	7.31525	1.63136321	FAM220A	family with sequence similarity 220 member A
7949668	7.6e-05	3.1e-07	10.4084549	7.26115	2.41193125	CCDC87	coiled-coil domain containing 87
8035684	8.02e-05	3.73e-07	10.2268041	7.08052	3.129506	TSSK6	testis specific serine kinase 6
8117172	0.0001147	7.37e-07	9.5833104	6.41478	3.06514439	HDGFL1	hepatoma derived growth factor-like 1
7978756	0.0001152	7.44e-07	9.5749714	6.40587	2.53376782	FSCB	fibrous sheath CABYR binding protein
7905530	0.0001303	9.9e-07	9.3145346	6.12421	3.80548325	SMCP	sperm mitochondria associated cysteine rich protein
8039078	0.0001303	9.97e-07	9.3086777	6.1178	2.02357504	BIRC8	baculoviral IAP repeat containing 8
8076754	0.000139	1.16e-06	9.1738058	5.96901	2.353062	PKDREJ	polycystin (PKD) family receptor for egg jelly
8117732	0.0001437	1.23e-06	9.120566	5.90974	1.7879225	OR2H1	olfactory receptor family 2 subfamily H member 1
7898623	0.0001549	1.42e-06	8.9948592	5.76854	1.89455818	UBXN10	UBX domain protein 10
7903851	0.0001587	1.54e-06	8.9259974	5.69045	2.21553593	UBL4B	ubiquitin like 4B
8099242	0.0001594	1.57e-06	8.9062468	5.66796	1.72352743	CCDC96	coiled-coil domain containing 96
8030076	0.0001755	1.82e-06	8.7793014	5.52232	3.78917657	SPACA4	sperm acrosome associated 4
7947649	0.0001843	2.04e-06	8.6819624	5.4094	1.93724279	CHRM4	cholinergic receptor muscarinic 4
7899905	0.0001931	2.28e-06	8.5858351	5.29681	2.81677071	HMGB4	high mobility group box 4
