ID	adj.P.Val	P.Value	t	B	logFC	NAME	GENE_SYMBOL
38779	9.43e-12	1.5e-15	10.4946059	24.06749	0.8807512	A_24_P218006	DNAJC30
57407	2.49e-11	4.35e-15	10.2216508	23.10833	0.88815384	A_23_P157170	DNAJC30
46407	5.68e-06	4.06e-09	6.8052175	10.53709	0.42055347	A_32_P133884	TUSC1
53957	0.000368	7.08e-07	-5.5002896	5.76178	-0.63613354	A_33_P3417626	ENHO
28766	0.000418	8.35e-07	-5.4571916	5.60852	-0.32111523	A_23_P39356	FFAR1
51967	0.00048	9.98e-07	5.4109309	5.44445	0.51490365	A_23_P125705	NAP1L2
34509	0.000626	1.41e-06	5.3199382	5.12312	0.49339511	A_23_P167983	HIST1H2AC
45814	0.0018	6.11e-06	-4.9304285	3.77065	-0.4660194	A_33_P3215113	LDOC1
9146	0.00353	1.66e-05	4.6576162	2.84906	0.593429	A_23_P157926	LINGO2
35100	0.00456	2.34e-05	4.5631258	2.53547	0.45966625	A_23_P8240	FAM50B
41563	0.0066	4e-05	-4.4123382	2.04157	-0.27774857	A_23_P204375	LPAR5
51261	0.00679	4.16e-05	4.4012674	2.00564	0.40091147	A_23_P94319	KBTBD11
18215	0.00864	6.04e-05	4.2953948	1.66436	0.58103681	A_33_P3336113	TIGD3
33273	0.00985	7.58e-05	4.2299533	1.4556	0.39235446	A_23_P122443	HIST1H1C
4014	0.0104	8.31e-05	4.203411	1.37142	0.38154735	A_23_P66827	FAM106A
49671	0.0158	0.000159	-4.0132707	0.77706	-0.59200504	A_21_P0000107	MTRNR2L7
62285	0.0174	0.000183	3.9730217	0.65325	0.37397011	A_23_P29594	RPL39L
28111	0.0201	0.000231	-3.9024385	0.43792	-0.35629814	A_24_P835500	ITPRIPL2
57452	0.0246	0.000327	3.7973864	0.12172	0.27527135	A_23_P122007	C5orf30
56727	0.0267	0.000373	3.7578356	0.00404	0.30394321	A_23_P42198	HIST1H3G
15213	0.0267	0.000376	-3.7549974	-0.00437	-0.25823992	A_33_P3268793	ADAT3
14789	0.0269	0.000382	3.7504282	-0.01791	0.22689458	A_33_P3245539	PNMA1
24944	0.0276	0.000394	3.7404658	-0.0474	0.48529022	A_23_P91390	THBD
13404	0.0278	0.000402	3.7344135	-0.06529	0.24457182	A_24_P397584	TBCC
41731	0.0281	0.000408	-3.730348	-0.07729	-0.37002495	A_23_P141362	FZD2
47163	0.0282	0.000411	3.7277886	-0.08485	0.27276343	A_23_P106405	NDN
46673	0.0283	0.000413	3.7263803	-0.089	0.37298165	A_23_P256561	TLR6
12907	0.0299	0.000455	-3.6963429	-0.17739	-0.33067007	A_24_P224727	CEBPA
12246	0.0299	0.000456	3.6958066	-0.17897	0.39484511	A_24_P164505	FAM106CP
41005	0.0306	0.000482	3.6789459	-0.22838	0.24288241	A_33_P3267410	KLLN
49585	0.0306	0.000482	3.6787062	-0.22908	0.27631697	A_23_P106405	NDN
21978	0.0318	0.000511	-3.6606916	-0.28172	-0.3665207	A_23_P2431	C3AR1
35819	0.0322	0.000521	3.6547839	-0.29895	0.28176353	A_23_P122007	C5orf30
28476	0.0328	0.000537	3.645373	-0.32635	0.4695732	A_23_P159952	BEX1
14250	0.0329	0.00054	3.6436473	-0.33137	0.22872824	A_24_P217848	HIST1H2AK
36911	0.0342	0.00057	-3.6265664	-0.38098	-0.35511612	A_33_P3310189	ADRB1
61977	0.0356	0.000616	3.6024407	-0.45079	0.25133516	A_33_P3423859	PPP1R3D
37364	0.0364	0.000635	3.5929826	-0.47808	0.27966433	A_23_P122007	C5orf30
58499	0.0415	0.000813	-3.5147978	-0.70185	-0.19957931	A_33_P3418010	NUP62
1107	0.0427	0.000856	3.4984159	-0.74832	0.25072017	A_23_P122007	C5orf30
52594	0.046	0.000967	3.4595953	-0.85788	0.25393028	A_33_P3302448	LINGO3
11162	0.0465	0.000986	-3.453349	-0.87543	-0.39537406	A_21_P0000110	MTRNR2L10
47663	0.0481	0.00104	3.4356622	-0.92501	0.21746478	A_24_P942969	FUT2
56454	0.0509	0.00114	3.405522	-1.00911	0.25717489	A_23_P122007	C5orf30
53615	0.0546	0.00128	-3.3703032	-1.10674	-0.43626316	A_33_P3239143	ZNF497
2772	0.0548	0.00128	3.3686206	-1.11139	0.25238682	A_23_P106405	NDN
30948	0.0568	0.00136	-3.3497781	-1.16332	-0.31070902	A_33_P3293753	KRTAP10-9
