Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neural Progenitor Cell Brain Human	6/17	0.004386145273844522	0.9999956375987203	0	0	4.984640929846409	27.06313346800317	SOX2;SOX1;SLITRK6;SOX11;OLIG2;SOX4
Enteroendocrine Cell Intestine Mouse	4/8	0.004805811560562124	0.9999956375987203	0	0	9.132792701469842	48.75020222363113	NEUROD1;NEUROD2;SOX4;NEUROG3
Memory B Cell Undefined Human	4/8	0.004805811560562124	0.9999956375987203	0	0	9.132792701469842	48.75020222363113	TLR1;TLR10;TLR6;TLR2
Homeostatic Microglial Cell Brain Human	3/5	0.008273749910429416	0.9999956375987203	0	0	13.693768996960486	65.6570683044155	P2RY12;GPR34;GPR183
Endothelial Cell Bone Marrow Human	5/16	0.016186422962133733	0.9999956375987203	0	0	4.151761017886779	17.12012898160829	S1PR1;S1PR3;S1PR2;S1PR5;S1PR4
Epithelial Cell Bronchiole Human	3/7	0.024882336392213922	0.9999956375987203	0	0	6.84612462006079	25.286826105062232	GJA1;GJB2;GJB3
Macrophage Nasal Polyp Human	3/7	0.024882336392213922	0.9999956375987203	0	0	6.84612462006079	25.286826105062232	CCR1;CNR2;MPEG1
Neutrophil Nasal Polyp Human	4/13	0.032851764148077375	0.9999956375987203	0	0	4.057892662048769	13.860746180110347	CXCR1;CXCR2;FPR3;FPR2
Prospermatogonia Testis Human	3/8	0.036928274603723096	0.9999956375987203	0	0	5.476595744680851	18.0660723084077	NANOS2;MAGEB2;MAGEC2
Alpha Cell Pancreatic Islet Mouse	3/9	0.051403656487097715	0.9999956375987203	0	0	4.563576494427558	13.544904828411452	MAFB;SSTR2;POU3F4
O Cell Brain Mouse	3/9	0.051403656487097715	0.9999956375987203	0	0	4.563576494427558	13.544904828411452	KCNA1;OLIG1;KCNA6
Tissue Resident Memory T(TRM) Cell Blood Human	3/9	0.051403656487097715	0.9999956375987203	0	0	4.563576494427558	13.544904828411452	CCR8;CXCR6;CCR5
Endothelial Cell Artery Human	3/10	0.06817711802109577	0.9999956375987203	0	0	3.9114198871037775	10.50469028229215	CLDN5;GJA5;GJA4
Rheaume Et al.Nat Commun.31 Retina Mouse	3/10	0.06817711802109577	0.9999956375987203	0	0	3.9114198871037775	10.50469028229215	NEUROD6;NHLH1;DRD5
Neutrophil Stomach Human	6/31	0.07966224917732034	0.9999956375987203	0	0	2.191537290715373	5.544500515738646	CXCR1;BASP1;CXCR2;KCNJ15;G0S2;FPR2
Greater Epithelial Ridge Cell Inner Ear Mouse	2/5	0.07976753791820143	0.9999956375987203	0	0	6.082700421940928	15.380951385079994	SOCS3;SOCS1
Neuron Embryonic Prefrontal Cortex Human	3/11	0.08707349174213709	0.9999956375987203	0	0	3.4223024316109423	8.353849764091265	NEUROD1;NEUROD2;NEUROD6
Epithelial Cell Transformed Artery Human	4/18	0.09491216018873828	0.9999956375987203	0	0	2.607921222214177	6.141141877595607	TMEM100;GJA5;GJA4;CLEC14A
Induced Pluripotent Stem Cell Undefined Human	6/33	0.10154184723150239	0.9999956375987203	0	0	2.02897570325272	4.640844225423736	SOX2;TPBG;ZFP42;TACSTD2;TEX19;THAP11
Astrocyte Cortex Human	3/12	0.10788827929099953	0.9999956375987203	0	0	3.0418777440054034	6.773224572035138	GJA1;KCNJ10;OLIG2
Pyramidal Cell Brain Mouse	3/12	0.10788827929099953	0.9999956375987203	0	0	3.0418777440054034	6.773224572035138	NEUROD1;NEUROD2;NEUROD6
Retinal Ganglion Cell Retina Mouse	3/12	0.10788827929099953	0.9999956375987203	0	0	3.0418777440054034	6.773224572035138	SOX11;SOX12;SOX4
Excitatory Neuron Hippocampus Human	3/12	0.10788827929099953	0.9999956375987203	0	0	3.0418777440054034	6.773224572035138	NEUROD1;NEUROD2;NEUROD6
Adipocyte Bone Marrow Mouse	2/6	0.11198358677619004	0.9999956375987203	0	0	4.561772151898734	9.987557475328119	CEBPA;CEBPB
Embryonic Mesodermal Cell Embryonic Mesoderm Mouse	2/6	0.11198358677619004	0.9999956375987203	0	0	4.561772151898734	9.987557475328119	TWIST2;TWIST1
Epithelial-mesenchymal Cell Bladder Human	2/6	0.11198358677619004	0.9999956375987203	0	0	4.561772151898734	9.987557475328119	FOXC2;TWIST1
Excitatory Neuron Brain Mouse	2/6	0.11198358677619004	0.9999956375987203	0	0	4.561772151898734	9.987557475328119	NEUROD2;NEUROD6
Globose Basal Cell Olfactory Neuroepithelium Human	2/6	0.11198358677619004	0.9999956375987203	0	0	4.561772151898734	9.987557475328119	NEUROD1;SOX2
Microglial Cell Hypothalamus Mouse	2/6	0.11198358677619004	0.9999956375987203	0	0	4.561772151898734	9.987557475328119	P2RY12;TMEM119
Neural Stem Cell Brain Mouse	3/13	0.13039924640602987	0.9999956375987203	0	0	2.7375379939209727	5.576787593029248	SOX2;THRSP;ASCL1
CD8+ Recently Activated Effector Memory Or Effector T Cell (CTL) Blood Human	3/13	0.13039924640602987	0.9999956375987203	0	0	2.7375379939209727	5.576787593029248	FGFBP2;S1PR1;S1PR5
Neutrophil Soft Tissue Human	3/13	0.13039924640602987	0.9999956375987203	0	0	2.7375379939209727	5.576787593029248	CXCR1;CXCR2;KCNJ15
