Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sensory Perception Of Smell (GO:0007608)	199/230	1.0877446129881471E-167	2.6486581326261384E-164	0	0	64.95896077506441	24973.316837387025	OR8I2;OR2M7;OR2M5;OR2M4;OR2M3;OR2M2;OR10AC1;OR5D18;OR2AE1;OR2A42;OR5B3;OR5B2;OR5D14;OR5AL1;OR5D13;OR8H3;OR8H2;OR8H1;OR2L8;OR2L5;OR2L3;OR2L2;OR10AD1;OMP;OR6C3;OR8G5;OR5AK2;OR6C2;OR8G1;OR9I1;OR13J1;OR10T2;OR2K2;OR51J1;OR5M11;OR5M10;OR10D3;OR6B1;OR2A25;OR8B12;OR51I2;OR2J3;OR2J2;OR10S1;OR2J1;OR51I1;OR10C1;OR2A12;OR2Z1;OR6A2;OR9G4;OR2A14;OR10J1;OR2A1;OR4E2;OR10J3;OR4E1;OR10J5;OR10J4;OR6Y1;OR5AP2;OR5B12;OR5B17;OR4D1;OR5F1;OR10Z1;OR5V1;OR52A1;OR52A5;OR8K5;OR10H1;OR8K3;OR10H3;OR8K1;OR10H2;OR10H5;OR10H4;OR2AG1;OR2AG2;OR8J3;OR8J1;OR10G2;OR10G4;OR10G3;OR1L6;OR51M1;OR5T3;OR5T2;OR5T1;OR10G6;GPR148;OR10G8;OR10G7;OR10G9;OR1C1;OR2T12;OR2T10;OR2T11;OR13D1;OR2D3;OR2D2;OR2T8;OR2T7;OR2T6;OR2T5;OR2T4;OR2T3;OR13C9;OR2T2;OR13C8;OR2T1;OR2L13;OR5AC2;OR13C3;OR13C2;OR13C5;OR13C4;OR2C3;OR6K6;OR2C1;OR6K3;OR5I1;OR6K2;OR52D1;OR9Q2;OR9Q1;OR1Q1;OR2S2;OR2AK2;OR51B6;OR51B5;OR51B4;OR2B6;OR2B3;OR10K2;OR2B2;OR10K1;OR5B21;OR2AJ1;OR2A5;OR8G2P;OR2A4;OR2A2;OR13H1;OR10AG1;OR10R2;OR6Q1;OR8U1;OR2Y1;OR8D4;OR8D2;OR8D1;OR13G1;OR2H1;OR6P1;OR10A7;OR7A5;OR2B11;OR10A2;OR10A4;OR10A3;OR10A6;OR10A5;OR2G6;OR5M9;OR5M8;OR2G3;OR1E1;OR2G2;OR5M3;OR5M1;OR10P1;OR2T34;OR2T35;OR2T33;OR2W3;OR8B8;OR2W1;OR12D1;OR8B4;OR13F1;OR8B3;OR12D3;OR8B2;OR12D2;OR1D5;OR2T27;OR1D2;OR2F2;OR2F1;OR2T29;OR5L2;OR5L1;OR6N2;OR6N1;OR51V1;OR2V2;OR2V1;OR8A1
Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell (GO:0050911)	127/139	1.1073821464245797E-113	9.013889790720153E-111	0	0	103.0359009009009	26798.619490132078	OR2M7;OR2M5;OR2M4;OR2M3;OR2M2;OR2T12;OR2T10;OR10AC1;OR2T11;OR2AE1;OR2A42;OR13D1;OR2D3;OR2D2;OR2L8;OR2L5;OR2L3;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T5;OR2T4;OR2T3;OR13C9;OR2T2;OR13C8;OR2T1;OR2L13;OR13C3;OR13C2;OR13C5;OR13C4;OR2C3;OR6K6;OR2C1;OR6K3;OR13J1;OR6K2;OR10T2;OR2K2;OR2S2;OR2AK2;OR10D3;OR2B6;OR6B1;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR2J3;OR2J2;OR10S1;OR2J1;OR2AJ1;OR10C1;OR2A12;OR2Z1;OR6A2;OR2A5;OR2A4;OR2A14;OR2A2;OR10J1;OR2A1;OR4E2;OR10J3;OR4E1;OR10J5;OR10J4;OR13H1;OR10AG1;OR10R2;OR6Q1;OR6Y1;OR2Y1;OR13G1;OR2H1;OR6P1;OR10Z1;OR10A7;OR5V1;OR2B11;OR10A2;OR10A4;OR10A3;OR10A6;OR10A5;OR2G6;OR10H1;OR10H3;OR2G3;OR10H2;OR2G2;OR10H5;OR10H4;OR10P1;OR2T34;OR2T35;OR2T33;OR2W3;OR2AG1;OR2W1;OR2AG2;OR12D1;OR13F1;OR12D3;OR12D2;OR2T27;OR10G2;OR2F2;OR2F1;OR10G4;OR2T29;OR10G3;OR1L6;OR6N2;OR6N1;OR2V2;OR2V1;OR10G6;GPR148;OR10G8;OR10G7;OR10G9
Detection Of Chemical Stimulus Involved In Sensory Perception (GO:0050907)	128/141	1.1105408366390332E-113	9.013889790720153E-111	0	0	95.90547905312643	24943.79406878302	OR2M7;OR2M5;OR2M4;OR2M3;OR2M2;OR2T12;OR2T10;OR10AC1;OR2T11;OR2AE1;OR2A42;OR13D1;OR2D3;OR2D2;OR2L8;OR2L5;OR2L3;OR2L2;OR2T8;OR2T7;OR10AD1;OR2T6;OR2T5;OR2T4;OR2T3;OR13C9;OR2T2;OR13C8;OR2T1;OR2L13;OR13C3;OR13C2;OR13C5;OR13C4;OR2C3;OR6K6;OR2C1;OR6K3;OR13J1;OR6K2;OR10T2;OR2K2;OR2S2;OR2AK2;OR10D3;OR2B6;OR6B1;OR2A25;OR2B3;OR10K2;OR2B2;OR10K1;OR2J3;OR2J2;OR10S1;OR2J1;OR2AJ1;OR10C1;OR2A12;OR2Z1;OR6A2;OR2A5;OR2A4;OR2A14;OR2A2;OR10J1;OR2A1;OR4E2;OR10J3;OR4E1;OR10J5;OR10J4;OR13H1;OR10AG1;OR10R2;OR6Q1;OR6Y1;OR2Y1;OR13G1;OR2H1;OR6P1;OR10Z1;OR10A7;OR5V1;OR2B11;OR10A2;OR10A4;OR10A3;OR10A6;OR10A5;OR2G6;OR10H1;OR10H3;OR2G3;OR10H2;OR2G2;OR10H5;OR10H4;OR10P1;OR2T34;OR2T35;OR2T33;OR2W3;OR2AG1;OR2W1;OR2AG2;OR12D1;OR13F1;OR5AN1;OR12D3;OR12D2;OR2T27;OR10G2;OR2F2;OR2F1;OR10G4;OR2T29;OR10G3;OR1L6;OR6N2;OR6N1;OR2V2;OR2V1;OR10G6;GPR148;OR10G8;OR10G7;OR10G9
Sensory Perception Of Chemical Stimulus (GO:0007606)	82/110	5.69685509376028E-59	3.4679605383265703E-56	0	0	27.8098379193366	3729.64984141767	OR10J1;OR8I2;OR1C1;OR10J5;OR2M4;OR8U1;OR5D18;OR5AP2;OR5B12;OR8D4;OR5B3;OR8D2;OR5B2;OR5B17;OR8D1;OR5D14;OR5AL1;OR5D13;OR8H3;OR8H2;OR8H1;OR4D1;OR2D2;OR5F1;OMP;OR5AC2;OR7A5;OR52A1;OR6C3;OR8G5;OR5AK2;OR6C2;OR10A3;OR10A5;OR52A5;OR8G1;OR8K5;OR9I1;OR5M9;OR5M8;OR8K3;OR1E2;OR8K1;OR5I1;OR1E1;OR52D1;OR5M3;OR9Q2;OR9Q1;OR5M1;OR51J1;OR5M11;OR1Q1;OR2S2;OR5M10;OR8B8;OR51B6;OR8B4;OR51B5;OR5AN1;OR8B3;OR51B4;OR8B2;OR1D5;OR8J3;OR8B12;OR51I2;OR1D2;OR8J1;OR5B21;OR5L2;OR51M1;OR5L1;OR51I1;OR5T3;OR5T2;OR5T1;OR51V1;OR8A1;OR6A2;OR8G2P;OR9G4
Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139)	16/18	9.911120970017802E-15	4.8267159123986695E-12	0	0	73.51759306476288	2370.5835324035206	IFNA5;IFNA4;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNB1;IFNA17;IFNA2;IFNA8;IFNW1;IFNE;IFNK;IFNA10;IFNA21
Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033141)	15/17	8.980705516994831E-14	3.644669655647069E-11	0	0	68.88761467889908	2069.4606070405	IFNA5;IFNA4;IFNA7;IFNA14;IFNA6;IFNA16;IFNB1;IFNA17;IFNA2;IFNA8;IFNW1;IFNE;IFNK;IFNA10;IFNA21
Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste (GO:0001580)	23/41	2.3502959509213637E-13	8.175672343562172E-11	0	0	11.7739963607415	342.37680492018654	TAS2R60;TAS2R7;TAS2R50;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R20;TAS2R42;TAS2R31;TAS2R43;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS2R1;TAS2R3;TAS2R5;TAS2R4
Lymphocyte Activation Involved In Immune Response (GO:0002285)	17/23	4.3490848084851397E-13	1.2742486477278085E-10	0	0	26.04498299319728	741.3350399044248	IFNA5;IFNA4;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNB1;IFNA17;IFNA2;IFNA8;IFNW1;GPR183;IFNE;IFNK;IFNA10;IFNA21
Sensory Perception Of Bitter Taste (GO:0050913)	23/42	4.709748595297855E-13	1.2742486477278085E-10	0	0	11.153692829822766	316.5861013992193	TAS2R60;TAS2R7;TAS2R50;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R20;TAS2R42;TAS2R31;TAS2R43;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS2R1;TAS2R3;TAS2R5;TAS2R4
Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste (GO:0050912)	23/45	3.233242888747136E-12	7.265678079448663E-10	0	0	9.631129617567693	254.8159536851481	TAS2R60;TAS2R7;TAS2R50;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R20;TAS2R42;TAS2R31;TAS2R43;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS2R1;TAS2R3;TAS2R5;TAS2R4
