Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nerve - Tibial Female 70-79 Up	47/100	1.5264006911892548E-21	7.708323490505737E-19	0	0	8.256818848372275	395.7606762211477	OR8I2;IFNA4;OR9K2;OR8K3;OR11H2;OR2G3;OR4K5;OR6C65;OR5AR1;OR2M7;C2ORF88;OR2M3;OR2M2;OR4K17;OR8U1;OR5H15;OR6Y1;OR13F1;SLITRK5;OR5D14;OR5D13;OR8H3;OR4C46;OR8H1;FOXD3;OR8J3;OR6C70;IFNA14;OR8J1;TAAR8;IFNA16;IFNA17;OR4N5;OR5L2;OR2J1;OR4L1;OR1L4;OR5T3;USP17L13;OR10Z1;OR2T1;OR52E8;OR2Z1;OR51A4;OR13C3;OR4C15;OR10G9
Testis Male 40-49 Up	39/100	9.51649962839889E-15	2.4029161561707195E-12	0	0	5.925645840734913	191.31391605344746	MAGEA12;DCAF4L1;FAM47C;MAGEB16;DCAF4L2;ACTL7B;DCAF12L1;DCAF8L1;CCER1;ZNF280B;MAGEA1;DNAJB8;MAGEC2;MAGEB10;MAGEA6;MAGEA10;MAGEA3;TRIM60;NANOS2;USP26;OR2J3;NAA11;DDX53;FOXR2;RBMXL3;TFDP3;ZFP42;TEX13D;TGIF2LY;TRPC5OS;MAGEB2;MAGEB3;SPACA4;MAGEB1;MAGEB6;TSPYL6;PRR23B;PRR23A;MAGEB4
Testis Male 20-29 Up	28/100	2.511387645567587E-7	2.5365015220232628E-5	0	0	3.581808334758566	54.43367326324509	DCAF4L1;DCAF4L2;DCAF8L1;TAF1L;MAGEA1;MAGEC2;MAGEB10;MAGEA6;MAGEA10;TKTL2;TRIM60;KDM4D;NAA11;OTUD6A;CTAGE1;RBMXL2;KIF4B;TEX13C;TEX13D;TRPC5OS;CTAGE9;MAGEB3;MAGEB1;MAGEB6;TSPYL6;TDRD15;PRR23A;PRR23C
Brain - Cortex Female 40-49 Up	28/100	2.511387645567587E-7	2.5365015220232628E-5	0	0	3.581808334758566	54.43367326324509	OR1A1;KRTAP25-1;OR4K5;OR6K2;OR4K3;OR4K2;ELFN2;OR5W2;OR6Y1;OR4C45;OR8B4;OR5D14;OR5AL1;BHLHA9;KCNJ4;OR8H1;OR5H1;OR6C75;OR14I1;RNF208;OR5T3;OR10X1;KCNS2;OR4K14;OR4A5;OR4C16;OR4C5;SPRN
Bladder Female 40-49 Up	28/100	2.511387645567587E-7	2.5365015220232628E-5	0	0	3.581808334758566	54.43367326324509	CHRM3;OR7G1;OR8I2;KRTAP22-1;OR10H1;OR8K1;OR10H2;MRGPRD;OR4K17;OR6Q1;OR1M1;OR5M11;OR5W2;ALDH1B1;TCEAL1;SLITRK6;OR8H3;OR4C46;OR6C76;P2RY14;OR1L3;OR1L1;OR5T3;OR4A5;OR51A2;OR13A1;OR4A15;OR9G1
Testis Male 30-39 Up	27/100	9.027984247596578E-7	7.598553408393787E-5	0	0	3.40463645943098	47.384935385184846	DCAF4L1;DCAF4L2;DCAF12L1;DCAF8L1;TAF1L;DCAF8L2;CDC14C;RFPL4B;MAGEC2;MAGEA6;PRND;MAGEA10;MAGEA3;TKTL2;TRIM60;FOXR2;POM121L2;KIF4B;TFDP3;TRPC5OS;MAGEB2;MAGEB3;MAGEB1;TSPYL6;TDRD15;PRR23A;LDHAL6B
Testis Male 50-59 Up	26/100	3.0903933446491793E-6	2.229498055782622E-4	0	0	3.2323964148669426	41.01009916255069	MAGEA12;DCAF4L1;DCAF4L2;FTHL17;MAGEA8;MAGEA1;MPC1L;MAGEC2;MAGEB10;MAGEA6;MAGEA10;MAGEA3;TRIM60;NANOS2;USP26;DDX53;TEX19;FOXR2;RBMXL3;TFDP3;TEX13C;TEX13D;MAGEB6;PRR23B;PRR23A;MAGEB4
Brain - Hypothalamus Female 50-59 Up	25/100	1.0063806783716475E-5	6.352778032221025E-4	0	0	3.064890710382514	35.26636435144829	DIRAS3;RTL1;ZCCHC12;MAGEL2;FBLL1;MC4R;TCEAL7;SOX1;PABPC1L2B;PABPC1L2A;SMIM10L2B;FOXB1;SMIM18;CENPVL2;NAP1L3;PNMA5;CENPVL3;SOX11;OLIG1;FNDC9;NAP1L5;VGF;INSM2;CTXN2;ERAS
Brain - Hypothalamus Male 50-59 Up	23/100	9.149560048883882E-5	0.00462052782468636	0	0	2.743343657366175	25.510955297208334	SMIM10L2B;DIRAS3;RTL1;ZCCHC12;FOXB1;MAGEL2;ANKRD34C;SMIM18;NAP1L3;PNMA5;SOX14;SOX11;PNMA2;FNDC9;NAP1L5;MC4R;SOX1;VGF;PABPC1L2B;INSM2;PABPC1L2A;CTXN2;ERAS
Brain - Hypothalamus Male 60-69 Up	23/100	9.149560048883882E-5	0.00462052782468636	0	0	2.743343657366175	25.510955297208334	SMIM10L2B;DIRAS3;RTL1;ZCCHC12;FOXB1;MAGEL2;SMIM18;PNMA5;SOX14;CENPVL3;SOX11;FNDC9;FBLL1;NAP1L5;MC4R;SOX3;MC3R;SOX1;VGF;PABPC1L2B;INSM2;PABPC1L2A;ERAS
Brain - Hypothalamus Female 60-69 Up	22/100	2.5485384320122063E-4	0.011700108256056038	0	0	2.5889566528952717	21.42315117345862	DIRAS3;RTL1;ZCCHC12;FOXB1;MAGEL2;SMIM18;NAP1L3;PNMA5;SOX11;OLIG1;FNDC9;FBLL1;NAP1L5;SOX3;TCEAL7;SOX1;VGF;OR12D1;PABPC1L2B;OR12D2;PABPC1L2A;ERAS
Fallopian Tube Female 40-49 Up	17/72	5.246388525596418E-4	0.021216859723460376	0	0	2.833543599257885	21.401189320482867	CCDC71L;ZCCHC12;OR8H1;JUN;JUND;SERTM1;IRF2BPL;SOCS3;OR4X2;SLITRK3;OR4D9;GAS1;OR10G7;JUNB;IER2;OR8H3;OR4C46
Skin - Sun Exposed (Lower Leg) Female 30-39 Up	21/100	6.72217337773002E-4	0.021216859723460376	0	0	2.4386114778286867	17.81388333936786	KPRP;PSAPL1;XCR1;CALML5;TREX2;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE2D;LCE1D;LCE1A;LCE2B;LCE1B;LCE2C;LCE2A;GJB4;LCE5A;LCE4A;LCE6A;OR10A3
Skin - Sun Exposed (Lower Leg) Female 40-49 Up	21/100	6.72217337773002E-4	0.021216859723460376	0	0	2.4386114778286867	17.81388333936786	KPRP;PSAPL1;XCR1;CALML5;TREX2;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE2D;LCE1D;LCE1A;LCE2B;LCE1B;LCE2C;LCE2A;GJB4;LCE5A;GJB3;LCE4A;LCE6A
Brain - Hypothalamus Female 40-49 Up	21/100	6.72217337773002E-4	0.021216859723460376	0	0	2.4386114778286867	17.81388333936786	SMIM10L2B;DIRAS3;RTL1;SMIM10L2A;FOXB1;MAGEL2;SMIM18;GPR45;GPR21;CENPVL1;CENPVL2;NAP1L3;PNMA5;SOX11;OLIG1;NAP1L5;TCEAL7;PABPC1L2B;PABPC1L2A;CTXN2;ERAS
Skin - Sun Exposed (Lower Leg) Female 70-79 Up	21/100	6.72217337773002E-4	0.021216859723460376	0	0	2.4386114778286867	17.81388333936786	KPRP;SPRR2G;PSAPL1;XCR1;CALML5;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE2D;LCE1D;LCE1A;LCE2B;LCE1B;LCE2C;LCE2A;OR10V1;LCE5A;LCE4A;LCE6A;SPRR2B
Skin - Sun Exposed (Lower Leg) Female 60-69 Up	20/100	0.001676775007371326	0.04233856893612598	0	0	2.292156361778232	14.648903054552791	KPRP;PSAPL1;CALML5;C1ORF68;LCE1E;LCE1F;ASPRV1;LCE2D;LCE1A;LCE2B;LCE1B;LCE2C;LCE2A;GJB4;LCE5A;C2CD4D;GJB3;LCE4A;LCE6A;OR10A6
Brain - Putamen (Basal Ganglia) Male 70-79 Up	20/100	0.001676775007371326	0.04233856893612598	0	0	2.292156361778232	14.648903054552791	ANKRD34B;KCNF1;LINGO3;LRRC10B;GPR88;HTR1D;GPR52;OLIG2;C6ORF141;TPBGL;C1QTNF4;MC4R;GPR151;TMEM158;LRRTM1;DRD1;SOWAHA;OR7C2;LRRC3B;SLC18A3
Brain - Hypothalamus Male 70-79 Up	20/100	0.001676775007371326	0.04233856893612598	0	0	2.292156361778232	14.648903054552791	SMIM10L2B;DIRAS3;RTL1;ZCCHC12;FOXB1;MAGEL2;SMIM18;CENPVL2;PNMA5;SOX11;FNDC9;FBLL1;NAP1L5;SOX3;SOX1;VGF;FNDC10;PABPC1L2B;PABPC1L2A;ERAS
Brain - Hypothalamus Male 40-49 Up	20/100	0.001676775007371326	0.04233856893612598	0	0	2.292156361778232	14.648903054552791	DIRAS3;ZCCHC12;FOXB1;MAGEL2;ANKRD34C;GPR45;MAGEE2;KCNE5;PNMA5;SOX14;CENPVL3;SOX11;PNMA2;FNDC9;NAP1L5;MC3R;SOX1;C10ORF105;PABPC1L2B;PABPC1L2A
Brain - Hypothalamus Male 20-29 Up	19/100	0.003949801077292714	0.09498331162061051	0	0	2.149447029596842	11.89523344424758	BHLHA9;SMIM10L2B;P2RY12;RTL1;MOAP1;MAGEL2;ANKRD34C;GPR45;IFNA16;OR14I1;PNMA2;FNDC9;NAP1L5;TCEAL7;KCNS2;PABPC1L2B;INSM2;PABPC1L2A;CCDC184
