Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hair root	53/54	2.8892724568639424E-49	2.5801203039795005E-46	0	0	421.69151324652	47130.63233171712	KRTAP24-1;KRTAP20-3;KRTAP22-1;KRTAP20-4;KRTAP22-2;KRTAP26-1;KRTAP5-3;KRTAP5-2;KRTAP5-1;KRTAP10-1;KRTAP13-2;KRTAP5-9;KRTAP13-1;KRTAP5-8;KRTAP13-4;KRTAP5-7;KRTAP15-1;KRTAP5-6;KRTAP5-5;KRTAP5-4;KRTAP19-2;KRTAP19-1;KRTAP19-4;KRTAP19-3;KRTAP19-5;KRTAP19-8;KRTAP19-7;KRTAP20-1;KRTAP20-2;KRTAP25-1;KRTAP21-2;KRTAP10-10;KRTAP10-11;KRTAP27-1;KRTAP10-12;KRTAP5-10;KRTAP5-11;KRTAP6-1;KRTAP12-1;KRTAP10-3;KRTAP10-2;KRTAP12-3;KRTAP10-5;KRTAP10-4;KRTAP12-2;KRTAP10-7;KRTAP12-4;KRTAP10-6;KRTAP10-9;KRTAP10-8;KRTAP8-1;KRTAP6-3;KRTAP21-1
Scalp	44/57	1.190782280874878E-30	5.3168428841063305E-28	0	0	26.802944819045	1846.8017608671805	KRTAP24-1;KRTAP10-10;KRTAP26-1;KRTAP5-3;KRTAP4-4;KRTAP5-2;KRTAP4-3;KRTAP1-5;KRTAP3-3;KRTAP2-4;KRTAP4-2;KRTAP3-2;KRTAP2-3;KRTAP1-3;KRTAP3-1;KRTAP2-2;KRTAP2-1;KRTAP1-1;KRTAP10-1;KRTAP12-1;KRTAP10-3;KRTAP11-1;KRTAP10-2;KRTAP13-1;KRTAP9-4;KRTAP4-9;KRTAP12-2;KRTAP9-3;KRTAP5-7;KRTAP4-8;KRTAP10-7;KRTAP9-2;KRTAP4-7;KRTAP5-5;KRTAP4-6;KRTAP10-9;KRTAP17-1;KRTAP8-1;KRTAP4-5;KRTAP19-1;KRTAP9-9;KRTAP9-8;KRTAP4-12;KRTAP4-11
Somatic cell	30/111	4.470887485891956E-6	0.0010424587194230203	0	0	2.9035390946502058	35.765572813995526	HIST2H2AA3;FUT4;HIST2H2AC;SOX2;HIST2H4A;HIST2H4B;HIST1H1E;PGK2;SRY;HIST1H1A;NANOS1;NANOS2;KRTAP5-9;HIST1H4K;HIST1H4L;OR1J2;FOXL2;POU3F2;HIST1H4A;H1F0;HIST1H4B;HIST4H4;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4C;OR6C2;HIST1H4D;HIST1H4E;HIST1H4F
Spermatid	37/151	4.669467948143428E-6	0.0010424587194230203	0	0	2.547582733025162	31.270216167495004	HIST2H2AA3;CCDC89;TSSK1B;HIST1H1T;CSTF2T;H1FNT;HIST2H2AC;HIST2H4A;HIST2H4B;CCIN;PAPOLB;PGK2;SMCP;HIST1H4K;HIST1H4L;HSPA2;CABS1;PRM3;HIST2H2BE;HIST1H4A;H1F0;HIST1H4B;HIST4H4;CDY2A;CDY2B;TSSK6;HIST1H4H;PABPC3;HIST1H4I;HIST1H4J;HIST1H4C;HIST1H2BA;TSSK2;HIST1H4D;PFN3;HIST1H4E;HIST1H4F
HeLa-S3 cell	10/21	3.8990708357360505E-5	0.0069637405126245855	0	0	7.092110532639167	72.00043368156038	HIST2H2AA3;H2AFB1;FRAT1;H1F0;FRAT2;RNF26;FZD8;GCNT4;FZD10;HIST2H2AC
Meristem	16/48	4.866315628255697E-5	0.007242699760053896	0	0	3.9063604240282683	38.79245735176481	HIST1H4K;HIST1H4L;KTI12;HIST2H4A;HIST1H4A;HIST2H4B;HIST1H4B;HIST4H4;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;SPRN;HIST1H4F
Root tip	16/52	1.435246323519986E-4	0.018309642384333535	0	0	3.4715351393796623	30.719627929989056	HIST1H4K;HIST1H4L;HIST2H4A;HIST1H4A;HIST2H4B;HIST1H4B;HIST4H4;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;GDPGP1;HIST1H4F;SPRN
NAMALWA cell	7/13	2.2777908208241365E-4	0.025425840037449424	0	0	9.092095615192843	76.2566273291888	IFNA4;CHST7;IFNA1;FUT9;IFNA2;B3GNT2;IFNA10
Cervical cancer cell line	21/96	0.002364111258411563	0.23457237264016953	0	0	2.1870739265161574	13.226008326451664	JUN;IFNA1;HIST1H4K;HIST1H4L;IFNB1;H2AFX;HSPB3;HIST2H4A;GJA1;HIST1H4A;HIST2H4B;HIST1H4B;HIST4H4;ERVW-1;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F
sknep1	5/11	0.00489736371619462	0.4373345798561796	0	0	6.488644688644689	34.5134789700029	BIRC8;TIAF1;CEBPG;HIST2H3C;RPRM
