Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NON RARE IN EUROPE: Obesity due to MC3R deficiency ORPHA:217031	62/101	2.5518303259586287E-33	8.400625433055806E-30	0	0	12.672793692631384	951.0741218590885	OR7G2;OR10J1;OR10J3;OR11H2;OR14J1;OR11H1;OR2M7;OR2M5;OR2M3;OR2M2;OR2T12;OR51L1;OR1S2;OR2Y1;OR4D9;OR4D6;OR8H2;OR4D2;OR51G1;TAAR8;TAAR9;OR11G2;OR2T7;OR5R1;OR2T4;MC3R;OR10A7;OR13C9;OR4K15;OR6C3;OR4C5;OR56A4;OR13C4;OR10H3;OR2G3;OR4K5;OR6K2;OR10H2;OR2G2;OR10H5;FAM47B;OR10H4;OR9Q2;OR1I1;OR2W5;OR13F1;OR7D4;OR10K1;OR1D2;OR2F2;OR2J2;OR2J1;MOS;OR2AJ1;OR2V2;OR4D11;OR10C1;OR2Z1;OR4D10;OR51A4;OR7C2;OR7G3
Short stature due to GHSR deficiency ORPHA:314811	56/101	5.013080946547635E-27	8.251531238017407E-24	0	0	9.890087929656275	598.9214409246908	TAS2R7;OR11H2;OR14J1;OR11H1;OR2M7;OR2M5;OR2M2;OR2T12;OR51L1;OR1S2;OR11H6;OR2Y1;OR52B4;OR4D6;OR4D2;TAAR8;OR11G2;OR2T7;OR5R1;OR10A7;OR13C9;OR4K15;OR6C3;OR4C5;OR56A4;OR13C4;OR10H3;OR4K5;OR6K2;OR10H2;OR2G2;OR10H5;FAM47B;OR10H4;OR9Q2;OR1I1;OR2W5;OR13F1;OR7D4;OR1D5;OR5AU1;OR1D4;OR1D2;OR2F2;OR10G3;OR2J2;OR2J1;ADAM30;OR1L1;OR2V2;OR4D11;OR10C1;OR2Z1;GPR148;OR2A5;OR7C2
Isolated follicle stimulating hormone deficiency ORPHA:52901	52/101	3.518370529629752E-23	2.8956189458852855E-20	0	0	8.416920089400213	435.16705037421946	OR7G2;OR10J3;OR51H1;OR11H2;OR14J1;OR2M7;OR51L1;OR1S2;OR10W1;OR2Y1;OR4D9;OR5AP2;OR8D4;OR8H2;OR51G1;TAAR8;OR6C76;TAAR9;OR6C75;OR11G2;OR2T7;OR5R1;OR10A7;OR13C9;OR5V1;OR6X1;OR52R1;OR4K15;OR13C3;OR6C3;OR4C5;OR13C4;OR51F2;OR10H3;OR2G3;OR4K5;OR6K2;OR10H4;OR4K2;OR9Q2;OR4K1;OR1I1;OR13F1;OR7D4;OR10K1;OR10G3;OR2J2;OR2J1;OR51V1;OR4D11;OR10C1;OR7C2
Severe autosomal recessive macrothrombocytopenia ORPHA:438207	52/101	3.518370529629752E-23	2.8956189458852855E-20	0	0	8.416920089400213	435.16705037421946	OR7G2;IFNA5;OR10J1;IFNA7;OR10J3;IFNA6;OR14J1;CETN1;OR2M7;OR51L1;OR1S2;PRKACG;OR2Y1;OR4D6;TAAR8;TAAR9;OR2T7;OR5R1;OR10Z1;OR10A7;OR5V1;OR4K15;KIF2B;OR6C3;ACTRT2;OR4C5;OR56A4;PRR23B;OR13C4;OR6K6;OR10H3;OR4K5;OR6K2;OR10H2;OR2G2;FAM47B;OR10H4;OR9Q2;OR1I1;OR2W5;DNAJB8;LELP1;OR7D4;PDHA2;OR2J2;OR2J1;MOS;OR51V1;OR2V2;OR10C1;OR7C2;OR51A7
Adult-onset autosomal recessive sideroblastic anemia ORPHA:255132	51/101	2.9165802609217657E-22	1.6002303698257421E-19	0	0	8.085868102288021	400.94957731712384	HIST2H2AB;HIST2H2AC;HIST1H2AE;HIST1H1D;HIST1H2AD;HIST1H1E;RIMBP3C;HIST1H2AG;HIST1H1B;HIST1H2AB;HIST1H1C;HIST1H2AM;HIST1H2AL;HIST1H2AI;HIST1H2AH;HIST1H2AK;HIST1H2AJ;HIST2H3A;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BB;HIST2H3D;HIST2H3C;HIST1H2BD;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H3J;HIST1H2BJ;HIST1H2BI;HIST1H2BL;HIST1H2BK;HIST2H4A;HIST1H3A;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3B;HIST1H3C;HIST1H4L;HIST1H4A;HIST1H4B;HIST1H4H;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F
Childhood-onset spasticity with hyperglycinemia ORPHA:401866	51/101	2.9165802609217657E-22	1.6002303698257421E-19	0	0	8.085868102288021	400.94957731712384	HIST2H2AB;HIST2H2AC;HIST1H2AE;HIST1H1D;HIST1H2AD;HIST1H1E;RIMBP3C;HIST1H2AG;HIST1H1B;HIST1H2AB;HIST1H1C;HIST1H2AM;HIST1H2AL;HIST1H2AI;HIST1H2AH;HIST1H2AK;HIST1H2AJ;HIST2H3A;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BB;HIST2H3D;HIST2H3C;HIST1H2BD;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H3J;HIST1H2BJ;HIST1H2BI;HIST1H2BL;HIST1H2BK;HIST2H4A;HIST1H3A;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3B;HIST1H3C;HIST1H4L;HIST1H4A;HIST1H4B;HIST1H4H;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F
Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation ORPHA:324530	49/101	1.7802835085797347E-20	7.325866637805608E-18	0	0	7.462434920525463	339.3536999225599	HIST2H2AB;HIST2H2AC;HIST1H2AE;HIST1H1D;HIST1H2AD;HIST1H1E;RIMBP3C;HIST1H2AG;HIST1H1B;HIST1H2AB;HIST1H1C;HIST1H2AM;HIST1H2AL;TAS2R50;HIST1H2AI;HIST1H2AH;HIST1H2AJ;TAS2R13;POU5F2;HIST2H3A;HIST4H4;HIST1H2BF;HIST1H2BG;HIST1H2BB;HIST2H3D;HIST2H3C;HIST1H2BD;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H2BI;HIST1H2BL;HIST2H4A;HIST1H3A;HIST1H3F;HIST1H3I;HIST1H3B;HIST1H3C;TAS2R30;HIST1H4L;HIST1H4A;HIST1H4B;HIST1H4H;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F
PLCG2-associated antibody deficiency and immune dysregulation ORPHA:300359	49/101	1.7802835085797347E-20	7.325866637805608E-18	0	0	7.462434920525463	339.3536999225599	HIST2H2AB;HIST2H2AC;HIST1H2AE;HIST1H1D;HIST1H2AD;HIST1H1E;RIMBP3C;HIST1H2AG;HIST1H1B;HIST1H2AB;HIST1H1C;HIST1H2AM;HIST1H2AL;TAS2R50;HIST1H2AI;HIST1H2AH;HIST1H2AJ;TAS2R13;POU5F2;HIST2H3A;HIST4H4;HIST1H2BF;HIST1H2BG;HIST1H2BB;HIST2H3D;HIST2H3C;HIST1H2BD;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H2BI;HIST1H2BL;HIST2H4A;HIST1H3A;HIST1H3F;HIST1H3I;HIST1H3B;HIST1H3C;TAS2R30;HIST1H4L;HIST1H4A;HIST1H4B;HIST1H4H;HIST1H4J;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F
Male infertility due to acephalic spermatozoa ORPHA:529970	47/102	1.5323825513198357E-18	5.605114843272109E-16	0	0	6.760208443594023	277.30177587928523	OR10J1;CCT8L2;OR11H2;OR14J1;OR10H3;OR2G3;OR4K5;OR11H1;OR6K2;CETN1;OR11H12;OR2M7;FAM47B;OR10H4;OR9Q2;OR1I1;CCER1;OR51L1;OR1S2;SPZ1;ZNRF4;OR13F1;DNAJB8;LELP1;OR7D4;OR4D6;PRR30;OR10K1;PDHA2;OR51G1;OR1D2;OR2H1;OR2J2;OR2J1;ADAM30;OR2T7;OR5R1;OR10A7;OR2V2;OR10C1;OR2Z1;OR4D10;KIF2B;OR6C3;OR7C2;ACTRT2;OR56A4
Familial hypoaldosteronism ORPHA:427	43/101	1.5656069760237564E-15	4.685434695518369E-13	0	0	5.853482959012224	199.5481772157007	OR7G2;OR11H2;OR14J1;OR10H3;OR4K5;OR11H1;OR6K2;OR10H2;OR2G2;OR2M7;OR10H5;OR51D1;FAM47B;OR10H4;OR2M5;OR9Q2;OR1I1;OR2M2;OR2T12;OR51L1;OR1S2;OR2W5;OR2Y1;OR7D4;OR4D6;OR4D2;OR10K1;OR2F2;OR11G2;OR2J2;OR2J1;OR2T7;OR5R1;OR10A7;OR2V2;OR4K15;OR4D11;OR10C1;OR2Z1;OR6C3;OR7C2;OR4C5;OR56A4
