Name	Gene	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Colon_Transverse_Mixed_Cell	Colon_Transverse_Mucosa	Colon_Transverse_Muscularis	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Liver_Hepatocyte	Liver_Mixed_Cell	Liver_Portal_Tract	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pancreas_Acini	Pancreas_Islets	Pancreas_Mixed_Cell	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Small_Intestine_Terminal_Ileum_Mixed_Cell	Spleen	Stomach	Stomach_Mixed_Cell	Stomach_Mucosa	Stomach_Muscularis	Testis	Thyroid	Uterus	Vagina	Whole_Blood	seg
ENSG00000186092.7	OR4F5	0.040547	0.03639	0.05373	0.025192	0.03537	0.033259	0.026951	0.065919	0.059381	0.0625085	0.05165	0.0504385	0.0748335	0.058579	0.069024	0.065355	0.062652	0.071423	0.0561285	0.058242	0.0408505	0.020975	0.022017	0.024028	0.026348	0.037731	0.046256	0.380539	0.424168	0.281777	0.045222	0.0301955	0.041878	0.013603	0.060833	0.070889	0.052886	0.028016	0.0455915	0.029826	0.029558	0.040643	0.0347355	0.034461	0.051158	0.0327025	0.022768	0.018126	0.01449	0.024377	0.0116615	0.030438	0.0360285	0.039078	0.040395	0.043856	0.187522	0.298299	0.0275	0.050328	0.077067	0.067548	0.0686105	0.0336705	0.0395405	0.026106	0.0273745	0.017036	Seg
ENSG00000284733.2	OR4F29	0.033898	0.032062	0.051112	0	0	0	0	0.047625	0.049778	0.0497495	0.039907	0.0449905	0.0553425	0.052158	0.059526	0.049212	0.050999	0.0504145	0.040283	0.045422	0.0327685	0	0	0	0	0.038431	0.039052	0.439223	0.497497	0.356874	0.038666	0.0223675	0.038023	0	0.052041	0.0590065	0.039055	0.026068	0.037923	0	0.036935	0	0.0338725	0.026344	0.043741	0	0	0	0	0.031744	0	0	0.0324015	0.035625	0.035751	0.038859	0.236476	0.331932	0	0.0434	0.059674	0.060211	0.0671885	0.028797	0	0	0	0	Seg
ENSG00000284662.2	OR4F16	0	0.03061	0.032948	0	0	0	0	0.034376	0.03488	0.0306745	0.028761	0.029932	0.0403655	0.035364	0.038005	0.035458	0.043157	0.04016	0.0323215	0.033205	0.0209745	0	0	0	0	0.032252	0.030926	0.109761	0.132666	0.10566	0.022936	0	0	0	0.03701	0.0392075	0.0309365	0	0.0319875	0	0	0	0	0	0.036075	0	0	0	0	0	0.0139935	0	0	0.028222	0	0	0.067256	0.086305	0	0.032623	0.045084	0.030351	0.0330365	0	0	0	0	0	Seg
ENSG00000237330.3	RNF223	0.04624	0.044073	0.044154	0.0360025	0.0367885	0.035839	2.66905	0.063031	0.068357	0.0521215	0.0609	0.0673785	0.079331	0.06554	0.061027	0.062865	0.057778	0.0541245	0.0457865	0.050841	0.438014	0.0508185	0.156867	11.7791	0.149913	0.057935	1.43923	3.19322	2.96814	0.293755	0.065887	33.4911	0.065977	0.053772	0.057508	0.0560895	0.389942	1.50378	0.049019	0.016621	0.018238	1.15764	0.809959	2.90541	0.048123	0.0413575	0.041183	0.098025	0.052191	0.018425	0.0391955	0.11029	0.653319	3.97512	5.53664	0.160954	0.132955	0.21384	0.050234	2.68775	4.68079	5.02817	0.0816435	0.30106	0.078632	0.056866	14.5125	0.021424	Seg
ENSG00000176022.7	B3GALT6	14.9542	15.1058	12.902	15.0118	16.8082	12.8885	13.8707	12.0209	14.6769	10.0098	13.5342	13.2364	15.845	18.5531	12.8286	14.779	11.6373	9.27255	11.4144	8.66109	15.8823	29.3864	13.0375	12.8855	22.69	12.5272	10.0518	11.0054	6.54234	14.9945	11.9047	10.8848	11.6461	20.4538	7.63587	6.39317	7.47785	12.9573	9.14998	10.7662	9.44873	21.2095	15.4575	10.7682	7.2188	18.657	15.8473	8.31695	7.71697	15.0016	8.89495	18.6889	16.5131	15.7101	15.3468	11.6774	19.2167	14.4438	20.1625	10.9289	11.6739	11.7611	13.5992	13.7095	18.1321	23.4448	13.062	4.88316	Seg
ENSG00000228594.4	FNDC10	1.03752	2.11514	34.6628	0.885744	2.00737	0.45801	1.97271	17.432	26.0511	11.1208	18.5731	20.4067	31.5949	31.569	17.1952	33.3874	13.9738	9.98611	13.1539	12.6798	1.9936	8.18496	2.12659	2.74175	1.76803	2.03292	2.39239	2.89296	2.41947	1.78913	1.13753	12.3975	1.31004	1.26259	1.06347	1.50952	3.4901	3.43428	0.380727	0.327089	0.346111	2.89263	4.60722	2.27301	0.243703	3.94712	3.26496	0.556449	0.386752	4.29427	0.773499	19.8464	1.75894	14.6974	16.5397	2.53766	1.9514	3.20992	5.86913	3.24849	4.52781	5.63607	1.28948	19.719	10.6125	0.818567	6.49428	2.10366	Seg
ENSG00000169717.7	ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380.084	0	0	0	0	Seg
ENSG00000179172.10	HNRNPCL1	0.067297	0.081656	0.08091	0.084658	0.0584085	0.075295	0.097957	0.045811	0.046474	0.050727	0.093562	0.067333	0.0458415	0.055728	0.040713	0.04454	0.05484	0.0393285	0.0676195	0.045606	0.0818905	0.207065	0.320838	0.130625	0.111523	0.075534	0.069537	0.0753255	0.0703335	0.051045	0.070779	0.09081	0.065738	0.116953	0.036895	0.0296005	0.045504	0.09292	0.0489625	0.051111	0.030558	0.0389	0.099328	0.069293	0.045338	0.101011	0.172062	0.027035	0	0.056277	0.0261665	0.099407	0.0912695	0.069665	0.0648575	0.072859	0.048953	0.0929385	0.111682	0.056374	0.054808	0.048318	0.0697585	0.283621	0.090872	0.13098	0.112328	0.079032	Seg
ENSG00000277058.3	HNRNPCL3	0.0097715	0.015136	0.012583	0	0	0	0.014984	0	0	0	0	0	0	0	0	0.010212	0	0	0.0126695	0	0.0166135	0.020521	0.024294	0.008224	0.016324	0	0	0	0	0.018775	0	0	0	0	0	0	0	0.018515	0	0	0	0.0232535	0.016419	0	0	0.0230205	0.025036	0	0	0	0.0067875	0.011157	0	0.017577	0.0082425	0	0.026962	0.0193695	0.017642	0	0	0	0	0.0041705	0.015891	0.024284	0	0	Seg
ENSG00000275774.3	HNRNPCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416735	0.061274	0	0.031449	0	0	0.0336855	0	0	0	0	0	0.02908	0	0	0	0	0	0	0	0	0	0	0	0	0.036079	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020099	0	0	0.142294	0	0	0	0	Seg
ENSG00000179412.11	HNRNPCL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024757	0	0	0	0	0	0	0	0	0	0	Seg
ENSG00000215695.2	RSC1A1	2.16206	1.0882	0.441119	0.813809	0.797963	0.675433	1.25905	0	0	0	0.282261	0.380363	0.196512	0	0	0	0	0	0.34998	0.124226	1.95656	0.360312	0.28359	2.25743	1.48451	0.748449	0.462326	0	0	0.233409	0.717448	1.09308	0.564436	1.28625	0.342783	0	0.295403	0.369428	0.734591	0.233709	0	1.08877	1.90889	1.5564	0.304667	2.39451	2.13756	0.243417	0	0	0	0.770551	2.21175	2.02971	2.12499	0.592252	0.412476	0	0.416595	0.393519	0.22739	0	0	0.804054	1.25131	2.53027	2.71392	0	Seg
ENSG00000233954.6	UQCRHL	4.3842	5.29639	3.07023	5.15675	5.18599	5.55087	6.36295	4.42379	6.16423	4.83892	13.1428	9.82352	5.75726	8.26815	4.04561	5.20769	5.84426	3.92852	3.81559	4.8185	4.89519	12.5978	19.3883	6.98077	7.04584	6.00184	6.22068	9.40121	6.74927	7.58053	4.90963	6.42414	4.85595	5.83598	8.99181	10.48	4.4041	7.20347	2.18283	3.34997	3.05185	4.73575	4.91486	4.85748	7.501	4.94226	8.00892	1.91023	2.40141	2.67862	2.35193	4.84701	5.1366	4.9336	4.86498	5.12185	6.44252	6.56152	5.03332	4.45102	4.72378	4.20713	5.02907	4.14217	5.23381	5.66206	6.02064	2.10566	Seg
