GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
23641	2.17e-22	2.4500000000000002e-26	0.4249	10.6184592	4.511439	532.81	LDOC1	LDOC1 regulator of NFKB signaling
94234	8.56e-18	2.41e-21	0.2572	-9.4854916	-2.4395229	559.22	FOXQ1	forkhead box Q1
150	8.41e-14	5.22e-17	0.3559	-8.3816596	-2.9832695	183.45	ADRA2A	adrenoceptor alpha 2A
170261	1.55e-10	1.4e-13	0.3937	-7.3964673	-2.9123521	389.53	ZCCHC12	zinc finger CCHC-type containing 12
9435	8.59e-09	1.41e-11	0.2442	6.7565714	1.6500563	1037.05	CHST2	carbohydrate sulfotransferase 2
8403	3.02e-08	5.96e-11	0.6268	-6.5446558	-4.1019624	57.36	SOX14	SRY-box transcription factor 14
107986554	1.7e-07	4.22e-10	0.3525	-6.2455307	-2.201646	109.37	LOC107986554	
100505573	9.83e-07	2.99e-09	0.1413	5.9320165	0.8383305	2154.87	INAFM2	InaF motif containing 2
401089	2.86e-06	1.06e-08	0.4005	5.7204037	2.2908268	57.49	FOXL2NB	FOXL2 neighbor
7056	4.5e-06	1.83e-08	0.361	5.6277635	2.0315813	2072.56	THBD	thrombomodulin
9982	9.49e-05	6.26e-07	0.4497	4.9829298	2.2406069	109.53	FGFBP1	fibroblast growth factor binding protein 1
5912	0.000155	1.12e-06	0.2443	4.86941	1.1894463	1475.79	RAP2B	RAP2B, member of RAS oncogene family
91663	0.000265	2.09e-06	0.0992	4.7445895	0.4705183	4926.91	MYADM	myeloid associated differentiation marker
2810	0.000527	4.88e-06	0.4036	4.5700546	1.8446497	743.88	SFN	stratifin
388	0.00133	1.56e-05	0.176	-4.3203626	-0.7601898	8895.43	RHOB	ras homolog family member B
7097	0.00163	2.06e-05	0.1574	4.2583096	0.6702234	289.94	TLR2	toll like receptor 2
9849	0.00163	2.06e-05	0.1103	4.2585863	0.4696497	1065.44	ZNF518A	zinc finger protein 518A
