Strand	locus1	locus2	code	code2	Gene name	SEG	Chr
-	23193086	23194219	NC_000001	1D	HTR1D	__SEG__	Chr1
-	248573801	248574757	NC_000001	2T34	OR2T34	__SEG__	Chr1
-	248649931	248650884	NC_000001	2T27	OR2T27	__SEG__	Chr1
-	248638287	248639258	NC_000001	2T35	OR2T35	__SEG__	Chr1
+	247605586	247606515	NC_000001	2G3	OR2G3	__SEG__	Chr1
+	247588360	247589313	NC_000001	2G2	OR2G2	__SEG__	Chr1
+	248348775	248349713	NC_000001	14C36	OR14C36	__SEG__	Chr1
+	247895587	247896531	NC_000001	2W3	OR2W3	__SEG__	Chr1
-	247840928	247841896	NC_000001	11L1	OR11L1	__SEG__	Chr1
+	247948858	247949796	NC_000001	2L8	OR2L8	__SEG__	Chr1
-	248626178	248627128	NC_000001	2T11	OR2T11	__SEG__	Chr1
-	247814800	247815729	NC_000001	14A16	OR14A16	__SEG__	Chr1
+	248452798	248453772	NC_000001	2T2	OR2T2	__SEG__	Chr1
-	156298770	156299189	NC_000001	protein	VHLL	__SEG__	Chr1
-	151800923	151802704	NC_000001	precursor	LINGO4	__SEG__	Chr1
-	159313670	159314659	NC_000001	10J3	OR10J3	__SEG__	Chr1
-	159535078	159536007	NC_000001	10J5	OR10J5	__SEG__	Chr1
+	158479878	158480885	NC_000001	10R2	OR10R2	__SEG__	Chr1
+	158465562	158466503	NC_000001	10K1	OR10K1	__SEG__	Chr1
-	158398522	158399466	NC_000001	10T2	OR10T2	__SEG__	Chr1
-	158419928	158420866	NC_000001	10K2	OR10K2	__SEG__	Chr1
-	158578919	158579899	NC_000001	10X1	OR10X1	__SEG__	Chr1
+	158606439	158607380	NC_000001	10Z1	OR10Z1	__SEG__	Chr1
+	247965332	247966339	NC_000001	2AK2	OR2AK2	__SEG__	Chr1
-	247451029	247451982	NC_000001	2B11	OR2B11	__SEG__	Chr1
+	248038268	248039206	NC_000001	2L2	OR2L2	__SEG__	Chr1
+	248060682	248061620	NC_000001	2L3	OR2L3	__SEG__	Chr1
+	248179986	248181029	NC_000001	2M2	OR2M2	__SEG__	Chr1
+	248203068	248204006	NC_000001	2M3	OR2M3	__SEG__	Chr1
+	248145148	248146086	NC_000001	2M5	OR2M5	__SEG__	Chr1
-	248323630	248324568	NC_000001	2M7	OR2M7	__SEG__	Chr1
-	248294616	248295578	NC_000001	2T12	OR2T12	__SEG__	Chr1
-	248558544	248559491	NC_000001	2T29	OR2T29	__SEG__	Chr1
-	248272852	248273814	NC_000001	2T33	OR2T33	__SEG__	Chr1
+	248361581	248362627	NC_000001	2T4	OR2T4	__SEG__	Chr1
+	248488589	248489536	NC_000001	2T5	OR2T5	__SEG__	Chr1
+	247491128	247492090	NC_000001	2W5	OR2W5	__SEG__	Chr1
+	247738615	247739559	NC_000001	14K1	OR14K1	__SEG__	Chr1
-	248681369	248682304	NC_000001	14I1	OR14I1	__SEG__	Chr1
+	158754816	158755847	NC_000001	6K6	OR6K6	__SEG__	Chr1
-	158547128	158548105	NC_000001	6Y1	OR6Y1	__SEG__	Chr1
-	450740	451678	NC_000001	4F3/4F16/4F29	OR4F29	__SEG__	Chr1
-	158776682	158777635	NC_000001	6N2	OR6N2	__SEG__	Chr1
-	158699678	158700652	NC_000001	6K2	OR6K2	__SEG__	Chr1
-	247711829	247712755	NC_000001	6F1	OR6F1	__SEG__	Chr1
-	158717168	158718115	NC_000001	6K3	OR6K3	__SEG__	Chr1

+	248387609	248388535	NC_000001	2T6	OR2T6	__SEG__	Chr1
+	69091	70008	NC_000001	4F5	OR4F5	__SEG__	Chr1
-	247672118	247673041	NC_000001	13G1	OR13G1	__SEG__	Chr1
+	248473351	248474307	NC_000001	2T3	OR2T3	__SEG__	Chr1
+	247921018	247921956	NC_000001	2T8	OR2T8	__SEG__	Chr1
+	153204708	153205004	NC_000001	1	LELP1	__SEG__	Chr1
+	248521647	248522597	NC_000001	2G6	OR2G6	__SEG__	Chr1
-	12847408	12848289	NC_000001	1	HNRNPCL1	__SEG__	Chr1

-	153093533	153093751	NC_000001	2E	SPRR2E	__SEG__	Chr1
+	152719522	152720274	NC_000001	32	C1orf68	__SEG__	Chr1
+	152759589	152761328	NC_000001	protein	KPRP	__SEG__	Chr1

-	145960269	145961759	NC_000001	34A	ANKRD34A	__SEG__	Chr1
+	149851114	149851506	NC_000001	2-A	HIST2H2AA4	__SEG__	Chr1
-	15807374	15807649	NC_000001	mitochondrial	UQCRHL	__SEG__	Chr1
+	153003021	153003530	NC_000001	3	SPRR3	__SEG__	Chr1
-	115837965	115838372	NC_000001	2	NHLH2	__SEG__	Chr1
-	148482758	148483252	NC_000001	4G	PPIAL4G	__SEG__	Chr1

+	149583898	149584392	NC_000001	4A/B/C	PPIAL4C	__SEG__	Chr1
-	13115519	13116400	NC_000001	2	HNRNPCL2	__SEG__	Chr1
+	120889821	120890315	NC_000001	4A	PPIAL4A	__SEG__	Chr1
-	144373090	144373584	NC_000001	4E	PPIAL4E	__SEG__	Chr1
+	13061325	13062206	NC_000001	3	HNRNPCL3	__SEG__	Chr1
-	158562651	158563604	NC_000001	6P1	OR6P1	__SEG__	Chr1
-	145241630	145242124	NC_000001	4D	PPIAL4D	__SEG__	Chr1
+	144592943	144593437	NC_000001	4F	PPIAL4F	__SEG__	Chr1
-	28149993	28151021	NC_000001	receptor	PTAFR	__SEG__	Chr1
+	203797523	203800462	NC_000001	6	ZBED6	__SEG__	Chr1
+	153218145	153218495	NC_000001	9	PRR9	__SEG__	Chr1

-	1071817	1072566	NC_000001	223	RNF223	__SEG__	Chr1
-	1599335	1600015	NC_000001	precursor	FNDC10	__SEG__	Chr1
+	248021948	248022886	NC_000001	2L5	OR2L5	__SEG__	Chr1
-	201114752	201115372	NC_000001	5	ASCL5	__SEG__	Chr1
-	237004187	237004372	NC_000001	1	MT1HL1	__SEG__	Chr1


-	13164586	13165467	NC_000001	4	HNRNPCL4	__SEG__	Chr1
-	152079557	152080807	NC_000001	ENSP00000383783	LOC100131107	__SEG__	Chr1
-	158999971	159000312	NC_000001	3	PYDC5	__SEG__	Chr1
+	101238985	101240133	NC_000001	1	S1PR1	__SEG__	Chr1
+	149900060	149900473	NC_000001	precursor	BOLA1	__SEG__	Chr1
+	154961613	154962269	NC_000001	LOC101928120	LOC101928120	__SEG__	Chr1


+	159432120	159433138	NC_000001	10J4	OR10J4	__SEG__	Chr1
-	35715632	35716321	NC_000001	C1orf216	C1orf216	__SEG__	Chr1
-	16733952	16734461	NC_000001	LOC102723383	LOC102723383	__SEG__	Chr1
+	248441117	248442133	NC_000001	2T7	OR2T7	__SEG__	Chr1
+	247933766	247934755	NC_000001	2AJ1	OR2AJ1	__SEG__	Chr1
-	247723099	247724043	NC_000001	14A2	OR14A2	__SEG__	Chr1
+	148748953	148749498	NC_000001	4B	NUDT4B	__SEG__	Chr1
-	143905556	143905966	NC_000001	2	HIST2H3PS2	__SEG__	Chr1
-	219609645	219612062	NC_000001	11B	ZC3H11B	__SEG__	Chr1
-	46532994	46533527	NC_000001	LOC105378696	LOC105378696	__SEG__	Chr1
-	241633796	241635766	NC_000001	2	CHML	__SEG__	Chr1
+	161524659	161526590	NC_000001	6	HSPA6	__SEG__	Chr1
-	58782075	58783070	NC_000001	AP-1	JUN	__SEG__	Chr1
-	110673082	110674809	NC_000001	3	KCNA3	__SEG__	Chr1
-	160041393	160042532	NC_000001	10	KCNJ10	__SEG__	Chr1
