ID	Seqname	Position	Strand	Condition	ConditionNum	GeneName	GeneBiotype	Region	RBPNum	miRNANum	SplicingSiteNum	SNPNum	CellLine	CellLineNum	Technique	TechniqueNum	Quantification
m6A_hg38_100280	chr12	57002786	-	GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl|GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HEK293;Ctrl	3	ZBTB39	protein_coding	Exon	0	0	0	0	A549;HEK293T;HEK293 	3	m6A-seq with improved protocol;miCLIP2;m6A-SAC-seq	3	1
m6A_hg38_100281	chr12	57002792	-	GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	2	ZBTB39	protein_coding	Exon	0	0	0	0	A549;HEK293E	2	m6A-CLIP-seq;miCLIP 	2	1
m6A_hg38_100283	chr12	57002958	-	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE121942;miCLIP;Homo_sapiens;HepG2;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	3	ZBTB39	protein_coding	Exon	0	0	0	0	HEK293T;HepG2;HEK293E	3	miCLIP 	1	1
m6A_hg38_100284	chr12	57003362	-	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d0	4	ZBTB39	protein_coding	Exon	6	0	0	0	HEK293T;HEK293E;HSPC	3	miCLIP ;miCLIP2;m6A-SAC-seq	3	1
m6A_hg38_100285	chr12	57003641	-	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	2	ZBTB39	protein_coding	Exon	2	0	0	0	HEK293T;HEK293E	2	miCLIP 	1	1
m6A_hg38_100293	chr12	57003911	-	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl	2	ZBTB39	protein_coding	Exon	3	0	0	0	MOLM13;HEK293T	2	miCLIP 	1	1
m6A_hg38_100298	chr12	57004444	-	GSE147440;meCLIP;Homo_sapiens;HEK293;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	2	ZBTB39	protein_coding	Exon	1	0	0	0	HEK293 ;HEK293E	2	meCLIP;miCLIP 	2	1
m6A_hg38_100299	chr12	57004465	-	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	2	ZBTB39	protein_coding	Exon	4	0	0	0	HEK293T;HEK293E	2	miCLIP 	1	1
m6A_hg38_100301	chr12	57004645	-	GSE121942;miCLIP;Homo_sapiens;HepG2;Ctrl|GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl	2	ZBTB39	protein_coding	Exon	3	0	0	0	HepG2;HEK293T	2	miCLIP ;miCLIP2	2	1
m6A_hg38_100302	chr12	57004700	-	GSE63753;miCLIP;Homo_sapiens;HEK293;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE124509;m6ACE;Homo_sapiens;HEK293T;Ctrl|GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin|GSE162357;m6A-SAC-seq;Homo_sapiens;HEK293;ribo	7	ZBTB39	protein_coding	Exon	0	0	0	0	HEK293 ;HEK293T;HEK293E	3	miCLIP ;m6ACE;miCLIP2;m6A-SAC-seq	4	1
m6A_hg38_100303	chr12	57004713	-	GSE63753;miCLIP;Homo_sapiens;HEK293;sysy_antinbody|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	3	ZBTB39	protein_coding	Exon	1	0	0	0	HEK293 ;A549;HEK293E	3	miCLIP ;m6A-seq with improved protocol	2	1
m6A_hg38_100304	chr12	57004836	-	GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin|GSE162357;m6A-SAC-seq;Homo_sapiens;HEK293;Ctrl	2	ZBTB39	protein_coding	Exon	5	0	0	0	HEK293E;HEK293 	2	miCLIP ;m6A-SAC-seq	2	1
m6A_hg38_100305	chr12	57004861	-	GSE163491;miCLIP2;Homo_sapiens;HEK293T;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;torin	2	ZBTB39	protein_coding	Exon	3	0	0	0	HEK293T;HEK293E	2	miCLIP2;miCLIP 	2	1
m6A_hg38_101068	chr12	76027012	-	GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl	2	PHLDA1	protein_coding	3'UTR/Exon	6	0	0	0	HEK293T;A549	2	miCLIP ;m6A-seq with improved protocol	2	1
m6A_hg38_101077	chr12	76029753	-	GSE162357;m6A-SAC-seq;Homo_sapiens;HepG2;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HSPC;ribo-d9	2	PHLDA1	protein_coding	3'UTR/Exon	9	1	0	0	HepG2;HSPC	2	m6A-SAC-seq	1	1
m6A_hg38_101079	chr12	76029890	-	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl	2	PHLDA1	protein_coding	3'UTR/Exon	1	0	0	0	MOLM13;CD8T	2	miCLIP ;m6A-CLIP-seq	2	1
m6A_hg38_101080	chr12	76029904	-	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE71154;m6A-CLIP-seq;Homo_sapiens;A549;Ctrl	3	PHLDA1	protein_coding	3'UTR/Exon	2	0	0	0	MOLM13;CD8T;A549	3	miCLIP ;m6A-CLIP-seq	2	1
m6A_hg38_101082	chr12	76029990	-	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl|GSE152633;miCLIP;Homo_sapiens;HEK293E;insulin	3	PHLDA1	protein_coding	3'UTR/Exon	3	0	0	0	MOLM13;A549;HEK293E	3	miCLIP ;m6A-seq with improved protocol	2	1
m6A_hg38_101084	chr12	76031020	-	GSE98623;miCLIP;Homo_sapiens;MOLM13;Ctrl|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl|GSE162357;m6A-SAC-seq;Homo_sapiens;HepG2;Ctrl	3	PHLDA1	protein_coding	Exon	1	0	0	0	MOLM13;A549;HepG2	3	miCLIP ;m6A-seq with improved protocol;m6A-SAC-seq	3	1
m6A_hg38_102534	chr12	106977672	-	GSE161304;miCLIP;Homo_sapiens;LNCaP;Ctrl|GSE161304;miCLIP;Homo_sapiens;RWPE;Ctrl	2	MTERF2	protein_coding	Exon	2	0	0	0	LNCaP;RWPE	2	miCLIP 	1	1
m6A_hg38_102535	chr12	106977674	-	GSE71154;m6A-CLIP-seq;Homo_sapiens;CD8T;Ctrl|GSE122948;miCLIP;Homo_sapiens;HEK293T;Ctrl|GSE54365;m6A-seq with improved protocol;Homo_sapiens;A549;Ctrl	3	MTERF2	protein_coding	Exon	2	0	0	0	CD8T;HEK293T;A549	3	m6A-CLIP-seq;miCLIP ;m6A-seq with improved protocol	3	1
