GeneName	count	Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Transcript count	Transcript length (including UTRs and CDS)	Length/#Mod
SEPTIN9	28	ENSG00000282302	ENSG00000282302.4	HSCHR17_3_CTG4	71462	85796	1	SEPTIN9	7	238	8.5
ABHD15-AS1	17	ENSG00000264031	ENSG00000264031.1	17	29560547	29707090	1	ABHD15-AS1	1	187	11.0
CAPN15	26	ENSG00000282214	ENSG00000282214.1	HSCHR16_CTG2	130385	130697	1	CAPN15	4	313	12.038461538461538
LINC00674	13	ENSG00000237854	ENSG00000237854.6	17	68101908	68114527	1	LINC00674	1	160	12.307692307692308
HERC2	12	ENSG00000277278	ENSG00000277278.4	HSCHR15_1_CTG8	8082	10112	-1	HERC2	3	181	15.083333333333334
MT-ATP8	12	ENSG00000228253	ENSG00000228253.1	MT	8366	8572	1	MT-ATP8	1	207	17.25
DAXX	16	ENSG00000229396	ENSG00000229396.1	HSCHR6_MHC_SSTO_CTG1	4777674	4777956	-1	DAXX	2	283	17.6875
SNHG29	24	ENSG00000175061	ENSG00000175061.21	17	16438767	16480249	1	SNHG29	82	464	19.333333333333332
URGCP-MRPS24	39	ENSG00000270617	ENSG00000270617.1	7	43866558	43906589	-1	URGCP-MRPS24	1	795	20.384615384615383
MT-ND4	66	ENSG00000198886	ENSG00000198886.2	MT	10760	12137	1	MT-ND4	1	1378	20.87878787878788
MT-ND5	81	ENSG00000198786	ENSG00000198786.2	MT	12337	14148	1	MT-ND5	1	1812	22.37037037037037
MT-RNR2	63	ENSG00000210082	ENSG00000210082.2	MT	1671	3229	1	MT-RNR2	1	1559	24.746031746031747
MT-TL1	3	ENSG00000209082	ENSG00000209082.1	MT	3230	3304	1	MT-TL1	1	75	25.0
CUTALP	8	ENSG00000226752	ENSG00000226752.11	9	120847294	120851339	1	CUTALP	1	205	25.625
RPL30	19	ENSG00000156482	ENSG00000156482.11	8	98024851	98046469	-1	RPL30	13	498	26.210526315789473
NORAD	33	ENSG00000260032	ENSG00000260032.3	20	36042280	36051018	-1	NORAD	5	870	26.363636363636363
CASC19	35	ENSG00000254166	ENSG00000254166.5	8	127072694	127227541	-1	CASC19	119	958	27.37142857142857
CAST	13	ENSG00000153113	ENSG00000153113.25	5	95962001	96631085	1	CAST	11	359	27.615384615384617
RACK1	41	ENSG00000204628	ENSG00000204628.12	5	181236897	181248096	-1	RACK1	35	1140	27.804878048780488
RPS24	19	ENSG00000138326	ENSG00000138326.21	10	78033760	78056813	1	RPS24	18	534	28.105263157894736
CPNE1	69	ENSG00000214078	ENSG00000214078.13	20	35626031	35664956	-1	CPNE1	28	1952	28.28985507246377
MT-CO2	24	ENSG00000198712	ENSG00000198712.1	MT	7586	8269	1	MT-CO2	1	684	28.5
MT-CYB	40	ENSG00000198727	ENSG00000198727.2	MT	14747	15887	1	MT-CYB	1	1141	28.525
RPL36	21	ENSG00000130255	ENSG00000130255.13	19	5674947	5691875	1	RPL36	8	607	28.904761904761905
MT-ND1	33	ENSG00000198888	ENSG00000198888.2	MT	3307	4262	1	MT-ND1	1	956	28.96969696969697
MRPS6	32	ENSG00000243927	ENSG00000243927.7	21	34073224	34362252	1	MRPS6	7	931	29.09375
MT-TS2	2	ENSG00000210184	ENSG00000210184.1	MT	12207	12265	1	MT-TS2	1	59	29.5
MT-RNR1	32	ENSG00000211459	ENSG00000211459.2	MT	648	1601	1	MT-RNR1	1	954	29.8125
EDF1	22	ENSG00000107223	ENSG00000107223.13	9	136862119	136866308	-1	EDF1	3	662	30.09090909090909
OXLD1	21	ENSG00000204237	ENSG00000204237.5	17	81665036	81666635	-1	OXLD1	7	637	30.333333333333332
PPIB	29	ENSG00000166794	ENSG00000166794.7	15	64155740	64163134	-1	PPIB	9	893	30.79310344827586
POLR1D	22	ENSG00000186184	ENSG00000186184.20	13	27620742	27744237	1	POLR1D	25	693	31.5
SNRPD2	16	ENSG00000125743	ENSG00000125743.11	19	45687460	45692569	-1	SNRPD2	8	515	32.1875
EEF2	98	ENSG00000167658	ENSG00000167658.16	19	3976056	3985463	-1	EEF2	7	3158	32.224489795918366
MT-ND2	32	ENSG00000198763	ENSG00000198763.3	MT	4470	5511	1	MT-ND2	1	1042	32.5625
MT-CO3	24	ENSG00000198938	ENSG00000198938.2	MT	9207	9990	1	MT-CO3	1	784	32.666666666666664
RBAK-RBAKDN	30	ENSG00000272968	ENSG00000272968.5	7	4983718	5073221	1	RBAK-RBAKDN	2	1001	33.36666666666667
RPS11	17	ENSG00000142534	ENSG00000142534.7	19	49496365	49499708	1	RPS11	9	573	33.705882352941174
ZHX1-C8orf76	37	ENSG00000259305	ENSG00000259305.6	8	123226189	123274284	-1	ZHX1-C8orf76	2	1257	33.972972972972975
MT-ATP6	20	ENSG00000198899	ENSG00000198899.2	MT	8527	9207	1	MT-ATP6	1	681	34.05
MT-TH	2	ENSG00000210176	ENSG00000210176.1	MT	12138	12206	1	MT-TH	1	69	34.5
MT-TV	2	ENSG00000210077	ENSG00000210077.1	MT	1602	1670	1	MT-TV	1	69	34.5
C1QBP	32	ENSG00000108561	ENSG00000108561.8	17	5432777	5448830	-1	C1QBP	7	1169	36.53125
FGD5-AS1	31	ENSG00000225733	ENSG00000225733.8	3	14920347	14948424	-1	FGD5-AS1	10	1184	38.193548387096776
MT-ND3	9	ENSG00000198840	ENSG00000198840.2	MT	10059	10404	1	MT-ND3	1	346	38.44444444444444
