function	cod	gene_name	type	chr	organism
 5-hydroxytryptamine receptor	1D	HTR1D	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T34	OR2T34	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T27	OR2T27	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T35	OR2T35	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2G3	OR2G3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2G2	OR2G2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	14C36	OR14C36	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2W3	OR2W3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	11L1	OR11L1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2L8	OR2L8	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T11	OR2T11	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	14A16	OR14A16	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T2	OR2T2	__SEG__	Chr1	{HomoSapiens}
 von Hippel-Lindau-like	protein	VHLL	__SEG__	Chr1	{HomoSapiens}
 leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 4	precursor	LINGO4	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10J3	OR10J3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10J5	OR10J5	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10R2	OR10R2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10K1	OR10K1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10T2	OR10T2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10K2	OR10K2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10X1	OR10X1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	10Z1	OR10Z1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2AK2	OR2AK2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2B11	OR2B11	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2L2	OR2L2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2L3	OR2L3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2M2	OR2M2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2M3	OR2M3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2M5	OR2M5	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2M7	OR2M7	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T12	OR2T12	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T29	OR2T29	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T33	OR2T33	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T4	OR2T4	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T5	OR2T5	__SEG__	Chr1	{HomoSapiens}
 putative olfactory receptor	2W5	OR2W5	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	14K1	OR14K1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	14I1	OR14I1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	6K6	OR6K6	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	6Y1	OR6Y1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	4F3/4F16/4F29	OR4F29	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	6N2	OR6N2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	6K2	OR6K2	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	6F1	OR6F1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	6K3	OR6K3	__SEG__	Chr1	{HomoSapiens}
 histone	H3.2	HIST2H3A	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T6	OR2T6	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	4F5	OR4F5	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	13G1	OR13G1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T3	OR2T3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2T8	OR2T8	__SEG__	Chr1	{HomoSapiens}
 late cornified envelope-like proline-rich protein	1	LELP1	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2G6	OR2G6	__SEG__	Chr1	{HomoSapiens}
 heterogeneous nuclear ribonucleoprotein C-like	1	HNRNPCL1	__SEG__	Chr1	{HomoSapiens}
 protein	FAM231D	LOC388692	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein	2E	SPRR2E	__SEG__	Chr1	{HomoSapiens}
 skin-specific protein	32	C1orf68	__SEG__	Chr1	{HomoSapiens}
 keratinocyte proline-rich	protein	KPRP	__SEG__	Chr1	{HomoSapiens}
 histone	H4	HIST2H4B	__SEG__	Chr1	{HomoSapiens}
 ankyrin repeat domain-containing protein	34A	ANKRD34A	__SEG__	Chr1	{HomoSapiens}
 histone H2A type	2-A	HIST2H2AA4	__SEG__	Chr1	{HomoSapiens}
 cytochrome b-c1 complex subunit 6-like,	mitochondrial	UQCRHL	__SEG__	Chr1	{HomoSapiens}
 small proline-rich protein	3	SPRR3	__SEG__	Chr1	{HomoSapiens}
 helix-loop-helix protein	2	NHLH2	__SEG__	Chr1	{HomoSapiens}
 peptidyl-prolyl cis-trans isomerase A-like	4G	PPIAL4G	__SEG__	Chr1	{HomoSapiens}
 histone	H3.2	HIST2H3D	__SEG__	Chr1	{HomoSapiens}
 peptidyl-prolyl cis-trans isomerase A-like	4A/B/C	PPIAL4C	__SEG__	Chr1	{HomoSapiens}
 heterogeneous nuclear ribonucleoprotein C-like	2	HNRNPCL2	__SEG__	Chr1	{HomoSapiens}
 peptidyl-prolyl cis-trans isomerase A-like	4A	PPIAL4A	__SEG__	Chr1	{HomoSapiens}
 peptidyl-prolyl cis-trans isomerase A-like	4E	PPIAL4E	__SEG__	Chr1	{HomoSapiens}
 heterogeneous nuclear ribonucleoprotein C-like	3	HNRNPCL3	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	6P1	OR6P1	__SEG__	Chr1	{HomoSapiens}
 peptidyl-prolyl cis-trans isomerase A-like	4D	PPIAL4D	__SEG__	Chr1	{HomoSapiens}
 peptidyl-prolyl cis-trans isomerase A-like	4F	PPIAL4F	__SEG__	Chr1	{HomoSapiens}
 platelet-activating factor	receptor	PTAFR	__SEG__	Chr1	{HomoSapiens}
 zinc finger BED domain-containing protein	6	ZBED6	__SEG__	Chr1	{HomoSapiens}
 proline-rich protein	9	PRR9	__SEG__	Chr1	{HomoSapiens}
	cornifin-A	SPRR1A	__SEG__	Chr1	{HomoSapiens}
 RING finger protein	223	RNF223	__SEG__	Chr1	{HomoSapiens}
 fibronectin type III domain-containing protein 10	precursor	FNDC10	__SEG__	Chr1	{HomoSapiens}
 olfactory receptor	2L5	OR2L5	__SEG__	Chr1	{HomoSapiens}
 achaete-scute homolog	5	ASCL5	__SEG__	Chr1	{HomoSapiens}
 metallothionein 1H-like protein	1	MT1HL1	__SEG__	Chr1	{HomoSapiens}
 protein	SETSIP	SETSIP	__SEG__	Chr1	{HomoSapiens}
	beclin-2	BECN2	__SEG__	Chr1	{HomoSapiens}
